Model,R_Squared,Adj_R_Squared,AIC,BIC,N_Obs,WGI_Coef,WGI_Pval,GINI_Coef,GINI_Pval,HDI_Coef,HDI_Pval
Base (WGI+GINI),0.004402402630388158,-0.012472132918249335,739.2849530560584,747.6723246928486,121.0,0.4190764673376121,0.47380776125366436,0.0002379541041997238,0.996910462815045,,
Add HDI,0.04920789315712926,0.02482860836628653,735.7131785263649,746.8963407087518,121.0,-1.1090797352061224,0.20318352732676537,0.03407072910216292,0.582979884313258,11.208112003987011,0.02054835163847565
Add HDI Components,0.10684663738443134,0.05983856566782253,734.1461859084607,753.7167197276378,121.0,-1.241102114983922,0.16875683386856233,0.01411639647381508,0.8194920646389738,,
Add HDI Categories,0.04803915542391812,0.006649553485827631,739.8618234499195,756.6365667235,121.0,-0.5571022179736759,0.520232534112784,0.01154952302925144,0.8606340233451693,,
Interaction (HDI*WGI),0.05397131606218075,0.02134963730570416,737.1054507052188,751.0844034332025,121.0,-4.196511062277782,0.3119337846069691,0.05226988794133395,0.4328374735382726,13.576092811293677,0.018813356563258766
