Country Name,year,che,oop_share,gov_share,predicted_che,residuals
Ukraine,2003,10.22,41.02519226,9.38550282,9.449873656548847,0.7701263434511532
United States,2003,5.79,14.1500597,17.5054512,6.275498749779845,-0.4854987497798451
Uzbekistan,2003,6.66,59.28883362,6.01096392,12.250090926518903,-5.5900909265189025
Argentina,2004,16.9,28.15113449,14.93299007,8.42651784520024,8.47348215479976
Armenia,2004,16.46,71.58870697,6.27547503,14.896983010156278,1.5630169898437227
Azerbaijan,2004,7.63,65.92002106,3.55759931,12.898401059824359,-5.268401059824359
Belarus,2004,3.27,19.22298622,9.99574471,5.081803744470928,-1.8118037444709283
Canada,2004,3.2,15.28786945,16.9260788,6.3392205387862495,-3.1392205387862493
"Congo, Dem. Rep.",2004,5.81,72.11377716,2.49895263,13.873765478651176,-8.063765478651177
Costa Rica,2004,4.36,32.05981445,25.73747253,12.483403134725398,-8.123403134725397
Czechia,2004,0.82,10.70501423,13.14472771,4.248296112615359,-3.428296112615359
Estonia,2004,11.57,22.94197273,11.50922489,6.312117685409119,5.257882314590881
Ethiopia,2004,0.82,34.86631393,5.72665405,7.066707260510247,-6.246707260510247
Georgia,2004,11.76,79.43696594,6.25,16.52763323520023,-4.767633235200231
Honduras,2004,1.14,50.05726242,9.59641266,11.398546746831268,-10.258546746831268
Croatia,2004,2.39,18.12159729,10.59734058,5.032350910789624,-2.642350910789624
Hungary,2004,10.27,25.83203506,11.08648109,6.788598072558509,3.4814019274414907
Indonesia,2004,2.06,45.9106369,4.20149517,8.914670360683237,-6.854670360683237
Israel,2004,12.37,28.72548866,9.58080482,6.940944754066618,5.429055245933381
Jamaica,2004,10.2,40.38105011,7.64527464,8.793404433365007,1.4065955666349925
Kazakhstan,2004,2.63,41.03963089,10.94160748,9.919664280880411,-7.2896642808804115
Kyrgyz Republic,2004,8.62,46.596138,8.21259594,10.260954932025314,-1.6409549320253145
"Korea, Rep.",2004,8.25,44.82784653,8.29986382,9.91800863973878,-1.6680086397387797
Lithuania,2004,11.98,32.91969299,10.13123989,7.981578832184272,3.998421167815728
Latvia,2004,12.08,40.63125992,9.9400692,9.533992289958537,2.5460077100414633
Moldova,2004,9.44,38.17024994,15.25031948,10.613154712033236,-1.1731547120332362
Maldives,2004,7.33,59.50085068,9.60306931,13.37185378408605,-6.041853784086049
North Macedonia,2004,7.19,42.53265762,13.83370781,11.098855771357966,-3.908855771357966
Mauritania,2004,10.54,70.48690033,2.96115541,13.672806183300658,-3.1328061833006586
Malawi,2004,0.31,9.69992733,4.99515104,1.5939022313542948,-1.2839022313542947
Pakistan,2004,3.37,60.75031281,4.51193905,12.1055140150754,-8.735514015075399
Poland,2004,12.74,29.44409943,9.10989761,6.949696215890205,5.7903037841097955
West Bank and Gaza,2004,7.91,36.20000076,7.39701176,7.846157423167901,0.06384257683209871
Romania,2004,9.62,24.32698631,11.96030045,6.736540372882842,2.8834596271171575
Russian Federation,2004,2.44,33.80615234,9.44207001,7.959896878283407,-5.519896878283408
Serbia,2004,8.57,27.29331207,13.70559883,7.879276771945361,0.6907232280546394
Slovak Republic,2004,5.28,21.23348236,13.11000252,6.435654273258306,-1.155654273258306
Thailand,2004,3.83,26.40885162,10.7134676,6.797115245131215,-2.9671152451312146
Ukraine,2004,10.33,41.40994263,8.1810751,9.168902799187737,1.1610972008122626
United States,2004,5.58,13.973526,17.92694855,6.36508243204299,-0.7850824320429899
Viet Nam,2004,15.91,34.6751709,8.6892519,7.915482002638481,7.994517997361519
Zambia,2004,2.79,31.0702076,5.65226936,6.2519728613662755,-3.4619728613662755
Albania,2005,19.51,49.31101227,9.30094719,11.154140851962067,8.355859148037935
Armenia,2005,12.04,62.93592072,7.44000816,13.440068351154016,-1.400068351154017
Azerbaijan,2005,8.12,59.33625793,3.95949173,11.644621115977008,-3.524621115977009
Bangladesh,2005,12.34,65.38332367,4.38883734,13.035709830732078,-0.6957098307320777
Bulgaria,2005,10.34,38.86741257,11.16988087,9.534696606352744,0.8053033936472556
Bahrain,2005,3.23,27.47366142,9.13842487,6.546932545137493,-3.3169325451374934
Belarus,2005,2.35,21.783041,10.05169773,5.632988605265416,-3.2829886052654156
Canada,2005,3.7,15.36829376,17.13103867,6.417489529248848,-2.717489529248848
Czechia,2005,0.94,11.09285259,12.75457001,4.212222202343806,-3.2722222023438063
Estonia,2005,10.79,23.02486992,11.57533646,6.349253277192661,4.440746722807338
Gabon,2005,5.67,51.96595001,5.07680273,10.441253566196167,-4.771253566196167
United Kingdom,2005,2.03,13.43031788,17.72014999,6.189657679027811,-4.159657679027811
Georgia,2005,15.04,79.585495,5.57707214,16.35678339723824,-1.3167833972382397
Ghana,2005,3.11,23.53275681,13.63450813,7.072951593745403,-3.962951593745403
Hungary,2005,10.62,25.76445389,11.35830498,6.8560283789749885,3.7639716210250107
Indonesia,2005,2.14,55.3282814,4.2081809,10.882570467532046,-8.742570467532046
"Iran, Islamic Rep.",2005,11.31,56.094944,9.00558662,12.481660974062175,-1.1716609740621742
Israel,2005,12.7,30.24324989,9.57161617,7.2550149077938455,5.444985092206154
Kazakhstan,2005,1.7,34.41242981,11.53032875,8.712858921516789,-7.012858921516789
Kenya,2005,5.55,45.22662354,6.89238787,9.579058464644747,-4.029058464644748
Kyrgyz Republic,2005,4.61,42.56970215,13.06986713,10.877463349818967,-6.267463349818967
"Korea, Rep.",2005,9.59,44.41871262,8.8823719,10.007335534213324,-0.4173355342133238
Sri Lanka,2005,6.28,40.50283051,10.13588715,9.56592166968143,-3.2859216696814295
Latvia,2005,12.48,41.69103241,9.33693027,9.574294998974322,2.9057050010256784
Moldova,2005,10.75,42.76385117,13.57666016,11.070011229363491,-0.3200112293634909
Madagascar,2005,0.21,33.02706909,10.54040527,8.126728362657627,-7.916728362657627
North Macedonia,2005,7.06,41.23845673,13.46777534,10.718929789841486,-3.658929789841486
Niger,2005,3.74,51.34446335,12.34742451,12.492451369254375,-8.752451369254375
Poland,2005,14.61,27.74561501,8.9949913,6.560676718671547,8.049323281328451
West Bank and Gaza,2005,6.25,37.0,8.14653969,8.237985973871568,-1.9879859738715684
Romania,2005,10.06,18.49896812,13.16346741,5.880873237712151,4.17912676228785
Rwanda,2005,2.35,23.80013084,8.09271908,5.4664231932422105,-3.1164231932422104
Senegal,2005,1.38,39.51602173,8.54413509,8.882459803682039,-7.502459803682039
Serbia,2005,10.83,29.81834602,13.61884022,8.380342713034759,2.449657286965241
Slovak Republic,2005,5.1,23.60951996,12.70239162,6.809373445747465,-1.709373445747465
Trinidad and Tobago,2005,2.58,46.24819565,8.02571201,10.132264794751872,-7.552264794751872
Tunisia,2005,21.91,42.11570358,11.35010338,10.26682442689042,11.64317557310958
Uganda,2005,20.3,48.59907532,7.13526297,10.355897907638337,9.944102092361664
Ukraine,2005,8.2,37.95809555,8.43188095,8.523576819608797,-0.3235768196087978
Uruguay,2005,4.54,25.94186974,13.28085995,7.469762021964479,-2.9297620219644793
United States,2005,5.67,13.9126749,17.94141579,6.3567196774757875,-0.6867196774757875
"Yemen, Rep.",2005,15.4,64.78065491,4.50115108,12.943595369771408,2.456404630228592
South Africa,2005,1.75,11.31283569,10.91880608,3.7074782153188908,-1.9574782153188908
Armenia,2006,10.83,61.17357254,7.93185902,13.21972334801848,-2.38972334801848
Burundi,2006,12.46,39.72788239,6.48141956,8.30794279986467,4.1520572001353315
Belarus,2006,2.86,24.38873672,8.44287395,5.694326388801057,-2.8343263888010575
Canada,2006,4.0,15.88811302,16.78170395,6.421211546915073,-2.421211546915073
Switzerland,2006,9.11,27.3494606,9.34170818,6.5819839708639565,2.528016029136043
Chile,2006,9.19,40.74998093,13.40539932,10.598251861911217,-1.4082518619112179
Czechia,2006,0.92,11.6460247,12.71145344,4.3147611559394266,-3.3947611559394266
Spain,2006,5.42,22.04916763,14.68880463,7.079510279997223,-1.6595102799972228
Finland,2006,7.12,18.81658745,13.57497311,6.070612192864466,1.0493878071355338
Georgia,2006,16.29,77.264328,5.23038626,15.768255756166958,0.5217442438330409
Hungary,2006,10.09,25.01134109,10.65500927,6.487855218640312,3.602144781359688
Indonesia,2006,1.82,53.37503815,4.51137447,10.56578635645782,-8.74578635645782
India,2006,16.84,72.25708008,2.88599753,14.019779219985088,2.820220780014912
Iraq,2006,3.29,32.58729172,3.0470798,5.787192783258672,-2.497192783258672
Israel,2006,11.28,25.72410393,9.85081196,6.39541065165092,4.884589348349079
Kyrgyz Republic,2006,3.96,39.18014526,14.45895767,10.586585528463676,-6.626585528463676
Kiribati,2006,0.0,0.05934824,11.40626049,1.5045780772578647,-1.5045780772578647
"Korea, Rep.",2006,10.78,42.52562332,9.59643841,9.826355731570716,0.953644268429283
Sri Lanka,2006,5.55,40.94941711,9.56101894,9.48670456253359,-3.936704562533591
Latvia,2006,10.91,35.59818268,9.62257767,8.388121797913344,2.521878202086656
Morocco,2006,22.0,58.74881363,5.01113462,11.837450377025553,10.162549622974447
Moldova,2006,15.06,46.45158386,12.89050865,11.633988988701503,3.426011011298497
North Macedonia,2006,7.84,37.00005722,13.40144539,9.814284643757635,-1.9742846437576347
Mali,2006,3.38,56.74286652,5.54588985,11.579124898069765,-8.199124898069766
Mauritius,2006,4.94,52.91299438,7.30248404,11.306571234127478,-6.366571234127478
Peru,2006,10.74,40.32910538,11.56533909,9.95844252412186,0.7815574758781398
Philippines,2006,4.39,54.03545761,6.63096142,11.339447677988291,-6.949447677988291
Poland,2006,13.82,27.10572624,9.0035038,6.429656015476352,7.390343984523648
West Bank and Gaza,2006,7.15,41.29999924,6.95828247,8.779157823985022,-1.6291578239850217
Romania,2006,10.62,19.99056435,11.28106403,5.627583077506425,4.992416922493574
Serbia,2006,10.28,32.84013367,12.53220367,8.685175765432254,1.5948242345677457
Slovak Republic,2006,3.76,26.58822823,12.50330448,7.371447433697023,-3.6114474336970233
Seychelles,2006,0.07,19.81629562,7.90729713,4.579193889834677,-4.509193889834677
Togo,2006,10.65,73.64611053,3.83191919,14.593476822878367,-3.9434768228783668
Thailand,2006,3.59,17.65686226,12.11568642,5.390789684142915,-1.8007896841429147
Ukraine,2006,8.36,36.13279724,8.69689655,8.222048642404793,0.13795135759520605
United States,2006,5.42,13.67793274,18.57419968,6.497531106937729,-1.0775311069377294
Viet Nam,2006,14.41,34.69738388,8.76698685,7.943436619567414,6.466563380432586
Zambia,2006,1.85,25.69581223,6.74704027,5.4584826282100085,-3.6084826282100084
Afghanistan,2007,4.84,78.16998291,2.61078191,15.171518411259703,-10.331518411259703
Armenia,2007,8.3,58.22918701,7.19854879,12.385127702618655,-4.085127702618655
Bosnia and Herzegovina,2007,10.25,44.27066803,11.32833004,10.710133172626735,-0.46013317262673503
Belarus,2007,3.43,25.79533768,8.12453842,5.892459111226968,-2.4624591112269676
Bhutan,2007,3.43,14.33664703,7.46379232,3.3023039139242854,0.1276960860757148
Canada,2007,4.0,15.61163616,17.06818199,6.449431464851231,-2.449431464851231
Switzerland,2007,10.36,27.33333206,9.55602741,6.642905428837015,3.717094571162985
China,2007,18.44,51.29121017,7.90135717,11.147671296187983,7.292328703812018
Cameroon,2007,8.01,75.56835175,4.22608185,15.112971707960666,-7.102971707960666
Cabo Verde,2007,2.05,22.91623306,10.09019661,5.8810861039781175,-3.8310861039781177
Czechia,2007,1.42,13.63102531,12.40300465,4.636598104522572,-3.216598104522572
Dominican Republic,2007,17.66,46.18055725,10.32302856,10.807259650722626,6.852740349277374
Spain,2007,5.4,21.9079361,14.58656883,7.019361636897431,-1.6193616368974304
Georgia,2007,17.74,75.67359161,3.95363283,15.05321498147179,2.6867850185282087
Hungary,2007,11.54,26.2612381,9.79407406,6.490515831620361,5.049484168379638
Indonesia,2007,2.54,49.54561996,5.43742085,10.044192346873764,-7.504192346873764
India,2007,12.98,70.81672668,2.78734279,13.689518412286798,-0.7095184122867977
"Iran, Islamic Rep.",2007,11.41,53.21485901,11.53469467,12.639098441892768,-1.2290984418927682
Israel,2007,12.12,26.66324234,9.88249969,6.600957142423162,5.519042857576837
Kazakhstan,2007,3.29,32.77426147,7.57602596,7.184746369788581,-3.8947463697885807
Kyrgyz Republic,2007,2.64,42.91151428,10.42505074,10.155463415085789,-7.515463415085788
St. Kitts and Nevis,2007,4.13,51.09035492,6.48289871,10.680255982347864,-6.550255982347864
"Korea, Rep.",2007,11.83,40.57471085,10.11632919,9.575059696020553,2.2549403039794473
Lao PDR,2007,10.12,35.17124939,3.90299487,6.583327728730521,3.5366722712694783
Liberia,2007,7.86,42.22309875,4.25491762,8.160936766264049,-0.30093676626404875
Latvia,2007,15.37,36.82770538,9.7152071,8.672565181702133,6.697434818297866
Moldova,2007,14.45,45.09947968,13.18110943,11.438912796678162,3.0110872033218374
Pakistan,2007,2.71,71.69874573,2.82084775,13.883686576204305,-11.173686576204304
Panama,2007,3.31,29.96040154,22.24735832,10.998247906262044,-7.688247906262044
Poland,2007,14.18,26.29073715,9.54005432,6.420476657261942,7.759523342738058
West Bank and Gaza,2007,9.39,37.29999924,7.4269166,8.08474798886864,1.3052520111313601
Romania,2007,10.57,17.59607506,10.90507507,5.014959816972767,5.555040183027233
Serbia,2007,11.41,34.712883,13.55892181,9.384083798294549,2.025916201705451
Slovak Republic,2007,3.74,27.370327,13.72518253,7.901227742990945,-4.1612277429909446
Slovenia,2007,2.63,13.63123608,12.17958164,4.569623063889482,-1.9396230638894822
Syrian Arab Republic,2007,6.88,51.68701553,6.85482645,10.91637166426956,-4.03637166426956
Thailand,2007,3.14,14.81379414,12.38446522,4.877935065302028,-1.7379350653020276
Tajikistan,2007,6.46,70.61388397,5.30023098,14.400953827046738,-7.940953827046738
Timor-Leste,2007,2.36,18.25991249,1.27376139,2.2644780949606442,0.09552190503935565
Tanzania,2007,2.24,28.474226,10.88657188,7.280178857453865,-5.040178857453864
Ukraine,2007,9.07,36.4568634,8.16024208,8.12871867323109,0.9412813267689106
Angola,2008,12.26,21.6532383,4.0603714,3.8087058337975415,8.451294166202459
Albania,2008,13.91,56.23107147,7.25106478,11.983782235657026,1.926217764342974
Armenia,2008,8.26,71.43701172,6.69246197,14.990398652653925,-6.730398652653925
Belarus,2008,4.06,29.83945274,5.80340672,6.0403937250945905,-1.9803937250945909
Brazil,2008,15.07,30.88409233,8.77957535,7.151203771653273,7.918796228346728
Central African Republic,2008,6.75,57.97245407,5.28349304,11.75708644475562,-5.00708644475562
