Country Code,Country Name,Year,GDP_per_capita,CHE10_pct,z_score,GDP_Quartile
RUS,Russian Federation,2002,2377.52954101563,3.16,0.8743315283870174,Q2
UGA,Uganda,2002,241.984688408335,9.57,0.1560927167171433,Q1 (Lowest GDP)
UKR,Ukraine,2002,903.011901855469,12.41,0.6126301357648526,Q1 (Lowest GDP)
USA,United States,2002,37997.7596573051,6.32,0.3663532733902705,Q4 (Highest GDP)
UZB,Uzbekistan,2002,381.409296889283,6.2,0.3856435868711596,Q1 (Lowest GDP)
ARM,Armenia,2003,882.030167695474,10.61,0.3232754335515156,Q1 (Lowest GDP)
AZE,Azerbaijan,2003,883.692580745256,6.99,0.2586490231219729,Q1 (Lowest GDP)
BEN,Benin,2003,676.002878084282,11.11,0.40365173972188695,Q1 (Lowest GDP)
BLR,Belarus,2003,1819.52653114699,3.59,0.8052079050804982,Q2
BTN,Bhutan,2003,1022.38240311018,5.38,0.5174607289905687,Q1 (Lowest GDP)
GEO,Georgia,2003,1010.03151630868,12.05,0.5547591953221853,Q1 (Lowest GDP)
GMB,"Gambia, The",2003,308.719123437587,0.43,1.3131861600772452,Q1 (Lowest GDP)
HUN,Hungary,2003,8410.09248198479,12.37,0.6062000312712228,Q4 (Highest GDP)
IND,India,2003,544.143133545002,15.41,1.0948879727870808,Q1 (Lowest GDP)
ISR,Israel,2003,19643.4690380742,11.75,0.5065334116199623,Q4 (Highest GDP)
JAM,Jamaica,2003,3549.70758394618,10.37,0.28469480658973734,Q3
KAZ,Kazakhstan,2003,1958.02050246511,2.32,1.0093637227532413,Q2
KGZ,Kyrgyz Republic,2003,380.505828812441,1.28,1.1765464395876137,Q1 (Lowest GDP)
LTU,Lithuania,2003,5507.47434187652,11.51,0.46795278465818413,Q3
LVA,Latvia,2003,4914.57992829302,9.66,0.17056045182781013,Q3
MDA,Moldova,2003,682.319095965299,10.61,0.3232754335515156,Q1 (Lowest GDP)
MKD,North Macedonia,2003,2445.36286400013,6.73,0.30044470233056597,Q2
NPL,Nepal,2003,246.429706587633,9.97,0.22039376165344046,Q1 (Lowest GDP)
PAN,Panama,2003,4264.66428949623,12.18,0.5756570349264817,Q3
POL,Poland,2003,5720.81366178104,11.73,0.5033183593731476,Q3
ROU,Romania,2003,2679.40626016154,7.95,0.1043265152748599,Q2
RUS,Russian Federation,2003,2975.123046875,1.41,1.1556485999833173,Q2
SYR,Syrian Arab Republic,2003,1220.179077256,5.54,0.49174031101604987,Q2
TCD,Chad,2003,289.087621122168,6.28,0.3727833778839002,Q1 (Lowest GDP)
UKR,Ukraine,2003,1076.48156738281,10.22,0.26058191473862613,Q1 (Lowest GDP)
