Country Code,Country Name,Year,GDP_per_capita,Health_Spending_Burden,Burden_Quartile
HND,Honduras,2004,1215.13995412761,1.15,Lowest 25%
HRV,Croatia,2004,9718.97322801967,2.39,Lowest 25%
HUN,Hungary,2004,10291.2694721409,10.27,50-75%
IDN,Indonesia,2004,1126.84004447173,2.06,Lowest 25%
IND,India,2004,624.258826510066,16.0,Highest 25%
ISR,Israel,2004,20568.0694088834,12.38,Highest 25%
JAM,Jamaica,2004,3807.56293124552,10.2,50-75%
KAZ,Kazakhstan,2004,2722.47407755402,2.63,Lowest 25%
KGZ,Kyrgyz Republic,2004,433.233873286,8.62,50-75%
LTU,Lithuania,2004,6734.57487061946,11.98,50-75%
LVA,Latvia,2004,6109.73265186817,12.08,50-75%
MDA,Moldova,2004,897.178494749468,9.44,50-75%
MDV,Maldives,2004,4070.2609459446,7.33,25-50%
MEX,Mexico,2004,7849.66759649565,6.92,25-50%
MKD,North Macedonia,2004,2818.5814561242,7.19,25-50%
MWI,Malawi,2004,404.674248445428,0.31,Lowest 25%
PAK,Pakistan,2004,771.902247348954,3.37,Lowest 25%
POL,Poland,2004,6711.72715262967,12.74,Highest 25%
ROU,Romania,2004,3494.99056448955,9.62,50-75%
RUS,Russian Federation,2004,4102.36474609375,2.44,Lowest 25%
UKR,Ukraine,2004,1401.01806640625,10.33,50-75%
USA,United States,2004,41724.6316287624,5.58,25-50%
ALB,Albania,2005,2741.72136549578,19.51,Highest 25%
ARM,Armenia,2005,1557.48458908655,12.04,50-75%
AZE,Azerbaijan,2005,1578.36733030667,8.12,50-75%
BGD,Bangladesh,2005,480.08585075452,12.34,Highest 25%
BLR,Belarus,2005,3126.07176665248,2.01,Lowest 25%
COG,"Congo, Rep.",2005,1799.05158366154,12.57,Highest 25%
GAB,Gabon,2005,6547.87613955186,5.67,25-50%
GBR,United Kingdom,2005,42240.2462987547,2.03,Lowest 25%
GEO,Georgia,2005,1642.78359414797,15.04,Highest 25%
GHA,Ghana,2005,478.611909191028,0.98,Lowest 25%
HUN,Hungary,2005,11212.2046968994,10.62,50-75%
IDN,Indonesia,2005,1238.21447629488,2.14,Lowest 25%
IRN,"Iran, Islamic Rep.",2005,3132.0508192007,11.27,50-75%
ISR,Israel,2005,21286.8388636595,12.77,Highest 25%
KAZ,Kazakhstan,2005,3577.35804001782,1.7,Lowest 25%
KEN,Kenya,2005,523.456312433863,5.82,25-50%
KGZ,Kyrgyz Republic,2005,476.548193640077,4.61,25-50%
MDA,Moldova,2005,1034.39197746993,10.75,50-75%
MDG,Madagascar,2005,305.812074924388,0.21,Lowest 25%
MKD,North Macedonia,2005,3120.98401394233,7.06,25-50%
MNE,Montenegro,2005,3674.6179242797,8.57,50-75%
NER,Niger,2005,318.643121918273,3.74,25-50%
POL,Poland,2005,8043.92332253757,14.61,Highest 25%
ROU,Romania,2005,4618.00350802913,10.06,50-75%
RWA,Rwanda,2005,324.016863847189,2.37,Lowest 25%
SEN,Senegal,2005,979.846101520171,1.38,Lowest 25%
SVK,Slovak Republic,2005,11641.5410321763,5.32,25-50%
TTO,Trinidad and Tobago,2005,12346.4373094075,2.58,Lowest 25%
UGA,Uganda,2005,330.405402707025,20.3,Highest 25%
UKR,Ukraine,2005,1875.33508300781,8.2,50-75%
USA,United States,2005,44123.4070679055,5.67,25-50%
YEM,"Yemen, Rep.",2005,734.159908450927,15.98,Highest 25%
ZAF,South Africa,2005,5836.87663325127,1.75,Lowest 25%
ARM,Armenia,2006,2041.65267068997,10.83,50-75%
BDI,Burundi,2006,161.892755640319,12.46,Highest 25%
BLR,Belarus,2006,3848.22350300163,2.64,Lowest 25%
GEO,Georgia,2006,1996.02013272284,16.29,Highest 25%
HUN,Hungary,2006,11478.4891640501,10.09,50-75%
IDN,Indonesia,2006,1558.31562847163,1.82,Lowest 25%
IND,India,2006,801.668353659022,16.84,Highest 25%
IRN,"Iran, Islamic Rep.",2006,3618.91601364428,11.79,50-75%
IRQ,Iraq,2006,2276.55435744086,3.33,Lowest 25%
ISR,Israel,2006,22527.2619795719,11.38,50-75%
