Country Name,Country Code,n_obs,mean_residual,mean_che,mean_oop,mean_gov,year_min,year_max,WGI_composite,WGI_GE,WGI_CC,WGI_RL,GINI_mean,HDI_Value,HDI_Rank,HDI_Rank_2022,GNI_per_capita,GNI_HDI_Rank_Diff,Life_Expectancy,Expected_Schooling,Mean_Schooling,HDI_Category,HDI_Cat_High,HDI_Cat_Low,HDI_Cat_Medium,ln_GNI,HDI_WGI
Djibouti,DJI,3,-4.448365196138485,1.62,29.96305402,5.810641606666667,2002,2017,-0.7444038523809523,-0.7888367857142856,-0.6430700523809524,-0.9229898333333332,42.7,0.513,175.0,176.0,6367.606026,-36.0,65.987,6.207350016,3.95041503,Low,False,True,False,8.759135890395587,-0.38187917627142853
Dominican Republic,DOM,2,3.1536827690483813,12.915,37.32972622,12.99544954,2007,2018,-0.3413157515873015,-0.5428571523809523,-0.7377409714285713,-0.5565322761904762,46.96363636363637,0.776,89.0,87.0,22023.51059,-17.0,73.72,13.61692047,9.444525756,High,True,False,False,9.999911229899155,-0.264861023231746
Ecuador,ECU,2,5.442088999218916,14.34,40.20895195,8.11343408,2011,2013,-0.6165007857142857,-0.5105376190476191,-0.7031489238095238,-0.883302838095238,48.67,0.777,88.0,89.0,13986.39698,15.0,77.392,14.85167027,8.970000267,High,True,False,False,9.545911987445605,-0.4790211105
"Egypt, Arab Rep.",EGY,4,13.32772086372843,25.2825,59.484020235,4.890645145,2008,2017,-0.7186705611111112,-0.4828534952380952,-0.5795383523809524,-0.4868727714285714,30.6375,0.754,100.0,100.0,16218.13521,-7.0,71.633,13.12716193,10.13611962,High,True,False,False,9.693947009971838,-0.5418776030777778
El Salvador,SLV,5,-7.071160606350176,3.714,36.440755464,17.02729721,2015,2019,-0.2682473777777778,-0.4048045238095238,-0.4623922142857142,-0.7137699523809524,44.40952380952381,0.678,132.0,134.0,10594.84201,-14.0,72.099,11.11291027,7.300000191,Medium,False,False,True,9.268216939937274,-0.18187172213333336
Estonia,EST,5,3.482094498946806,9.563999999999998,22.04296646,11.367380524,2000,2010,1.126811669047619,1.0277865523809524,1.1482323904761904,1.1533152761904764,32.95454545454545,0.905,36.0,33.0,40880.93044,8.0,79.153,15.96786022,13.56216597,Very_High,False,False,False,10.61844344587616,1.0197645604880954
Eswatini,SWZ,2,3.069423400522629,6.88,14.555170535,9.00616264,2000,2016,-0.5387203944444444,-0.4687734761904762,-0.1462749761904761,-0.5790692761904762,53.03333333333333,0.695,126.0,126.0,9919.08523,-6.0,64.123,15.24604391,8.685199738,Medium,False,False,True,9.20231679197588,-0.37441067413888884
Ethiopia,ETH,4,-5.374733570814118,2.075,38.40981674,4.53763002,2004,2018,-0.9632483484126984,-0.6972657809523809,-0.6070373571428571,-0.8546954857142857,32.275,0.497,180.0,181.0,2795.506984,-7.0,67.315,9.217651571,2.402539813,Low,False,True,False,7.936126411665998,-0.4787344291611111
Finland,FIN,3,0.699876871948215,6.706666666666667,18.517153423333333,13.570583346666666,2006,2016,1.8962122849206349,2.1288820285714287,2.2203622000000003,2.0025292714285716,27.49,0.948,12.0,11.0,57067.63693,10.0,81.91,19.49408913,12.97962547,Very_High,False,False,False,10.952009979068196,1.7976092461047617
Gabon,GAB,2,-3.5887204569826276,4.75,38.561170575,7.395940065,2005,2017,-0.6232088007936507,-0.7580742047619047,-0.801152980952381,-0.6039645857142857,40.1,0.733,108.0,111.0,18854.06151,-25.0,68.337,12.48275889,9.686,High,True,False,False,9.844536671951788,-0.45681205098174593
