Model,Variable,Coefficient,Std_Error,Bias,CI_Lower,CI_Upper,P_Value
Model_1_Aggregated,Year_2016,-0.1432740516989618,0.06518879914995215,0.004397046578270336,-0.27026982491205187,-0.019899749779538123,0.036
Model_1_Aggregated,Year_2017,-0.14994382802983655,0.07399698139049347,0.005743826992165774,-0.28993931829538805,0.00019181586874306156,0.052
Model_1_Aggregated,Year_2018,-0.12577375785083414,0.06838873371605653,0.005793723736532905,-0.2504344933602022,0.0009776569746495767,0.076
Model_1_Aggregated,Year_2019,-0.13550789799088475,0.0771796040101993,0.0020987818533978186,-0.273979804148919,0.015389012753603493,0.068
Model_1_Aggregated,Year_2020,-0.2466914146076529,0.11287128485315236,0.0015295625376373356,-0.44300687807353223,-0.01340647710625159,0.008
Model_2_WGI_Components,const,0.3327736586297621,0.058280111327697635,-0.0011329940651745862,0.22649978551735733,0.4443220593600568,0.0
Model_2_WGI_Components,WGI_GE,-0.25427135904460824,0.04857603377118624,0.0023617541292305644,-0.34710859825584295,-0.15756230712429886,0.0
Model_2_WGI_Components,WGI_CC,0.12551915183205087,0.04863939985537996,-0.0010082585644036884,0.030249832080315925,0.2214332250449379,0.016
Model_2_WGI_Components,WGI_RL,-0.04700419542185468,0.054833070340888496,0.0030980852584793356,-0.1476784954465237,0.06739598424242928,0.456
Model_2_WGI_Components,FD_Overall,-0.17489768704695005,0.09452763452566507,0.0034835028807530533,-0.34857782870854087,0.015846804271738846,0.056
Model_2_WGI_Components,Year_2001,-0.0662740606709396,0.06953364768594533,-0.00300072521863054,-0.1949851726301697,0.06451884782871015,0.3
Model_2_WGI_Components,Year_2002,-0.04276188237521352,0.0725198502072632,0.0023809183606327555,-0.17178886218739242,0.10413815652783782,0.632
Model_2_WGI_Components,Year_2003,-0.08823840191025395,0.06452200147771425,0.0033368571700142097,-0.2160326356198585,0.03147829414468539,0.224
Model_2_WGI_Components,Year_2004,-0.08774735967653381,0.06987359662632624,0.008489304209343851,-0.22901857340779017,0.059651252028376206,0.288
Model_2_WGI_Components,Year_2005,-0.12136908701760481,0.06690082179383315,0.0033216542830456913,-0.24594426216466364,0.004411078108657929,0.076
Model_2_WGI_Components,Year_2006,-0.002531181540727322,0.06460776433370755,0.001386876439573383,-0.12125162693661909,0.13182238898261384,0.96
Model_2_WGI_Components,Year_2007,-0.10474743903795818,0.06935648887633601,0.0034314645532119714,-0.24960422948832497,0.034156979051089414,0.164
Model_2_WGI_Components,Year_2008,-0.21023865040452724,0.07947169681118321,0.0026156574524112686,-0.3586832878912222,-0.04800614313088919,0.012
Model_2_WGI_Components,Year_2009,-0.11592115996397233,0.0675836416039053,0.005480186521846411,-0.24360670065753212,0.02122489271980374,0.108
Model_2_WGI_Components,Year_2010,-0.05209035478779066,0.06693492507850397,0.0012951598242059992,-0.18534453211067647,0.07403856316917676,0.468
Model_2_WGI_Components,Year_2011,-0.10378692430713461,0.06675770320882925,0.004377623947899478,-0.22656577749832377,0.016524756195172824,0.16
Model_2_WGI_Components,Year_2012,-0.13147747758270142,0.07078035780697137,0.003580586302581623,-0.26411108612758183,0.006767072083624037,0.06
Model_2_WGI_Components,Year_2013,-0.10260921470058773,0.06756528328457279,0.00520593726183019,-0.230216780324886,0.019467041985434308,0.168
Model_2_WGI_Components,Year_2014,-0.18467509554336192,0.0711899289878439,0.0070394652016820825,-0.32481236653266976,-0.06367240965605525,0.024
Model_2_WGI_Components,Year_2015,-0.11238471059657615,0.060847012231959825,0.005226970884914153,-0.2271865154023905,0.0068294616474379455,0.072
Model_2_WGI_Components,Year_2016,-0.17103203017065258,0.06635612117499308,0.008761428917165859,-0.305328592756382,-0.045686791591143916,0.024
Model_2_WGI_Components,Year_2017,-0.1737580571571488,0.07149906135891972,0.0033020048032286198,-0.3091737388609,-0.03167566450885312,0.028
Model_2_WGI_Components,Year_2018,-0.16395046320665532,0.06412242904658957,0.006850672430565197,-0.28249281483239363,-0.042213944596979525,0.024
Model_2_WGI_Components,Year_2019,-0.15515572206422573,0.07184601913968233,0.00544029609564986,-0.28904230871918746,-0.016609231575209993,0.04
Model_2_WGI_Components,Year_2020,-0.2708773703821586,0.10188108085815809,0.00582802214830852,-0.4505612776512627,-0.04771943803364331,0.004
Model_3_FD_Components,const,0.4015447093325363,0.05534589066028246,-0.000534205706858526,0.28456373411256575,0.5078789123210496,0.0
Model_3_FD_Components,WGI_Composite,-0.005831194510738419,0.019569355787684258,0.0017205244482850976,-0.04456601648287654,0.02887936471532436,0.88
Model_3_FD_Components,Financial_Institutions_Access_Index,-0.5894248457083133,0.0558611323452797,0.011609638234852171,-0.693126462858737,-0.46998891266579534,0.0
Model_3_FD_Components,Financial_Institutions_Depth_Index,-0.5136910720709079,0.08711690019276291,0.0047174564485363835,-0.6793400880291733,-0.34417267173012056,0.0
Model_3_FD_Components,Financial_Institutions_Efficiency_Index,0.06711369225511428,0.08254452748306508,-0.0028324535489966385,-0.0844038125618525,0.22866304651769892,0.472
Model_3_FD_Components,Financial_Markets_Access_Index,-0.11531224844644969,0.052308059533752574,0.0027885926725928073,-0.21164347436699787,-0.012888883080674624,0.024
Model_3_FD_Components,Financial_Markets_Depth_Index,0.44076474312583724,0.08771136859419058,-0.0015649434963254105,0.2674154655787052,0.6015646728097763,0.0
Model_3_FD_Components,Financial_Markets_Efficiency_Index,-0.008644567712963859,0.04260653948098371,-0.002648040839827011,-0.09199108963897612,0.07924411019351829,0.768
Model_3_FD_Components,Year_2001,-0.029002911999313954,0.05425126895960395,0.0016428638497588688,-0.13370091695697126,0.07354074710231054,0.648
Model_3_FD_Components,Year_2002,-0.019666843711380957,0.0509502069807774,0.001508138768915257,-0.11940922182042099,0.07554511559720671,0.74
Model_3_FD_Components,Year_2003,-0.05256770350459825,0.05522451417634758,0.0001755731229706181,-0.1608414477987353,0.053071423905837925,0.356
Model_3_FD_Components,Year_2004,-0.060704500933618254,0.05676611060836076,-5.864561944211866e-05,-0.1634252972332365,0.051180669666718234,0.276
Model_3_FD_Components,Year_2005,-0.08251562236819622,0.049912906038832236,0.003744885299699491,-0.1885265645572048,0.017522851854759297,0.116
Model_3_FD_Components,Year_2006,0.037385391768869014,0.05005133611496876,0.0009446398482078899,-0.05848197298928376,0.14073260539548244,0.42
Model_3_FD_Components,Year_2007,-0.03197759292306469,0.05478728008398239,0.0033215013019785578,-0.155084699744153,0.07114695852830344,0.632
Model_3_FD_Components,Year_2008,-0.04812201754179657,0.05945691499413778,0.002190611055085584,-0.16835527618835894,0.07030456411984318,0.472
Model_3_FD_Components,Year_2009,-0.006139276705248331,0.05239401319317958,0.000397206570850653,-0.10916361927024072,0.10314590497122125,0.964
Model_3_FD_Components,Year_2010,0.08426680574394038,0.05169615968320682,-0.002026647004448573,-0.01471555157679294,0.186400529358885,0.104
Model_3_FD_Components,Year_2011,0.05025159695166584,0.05229898961881174,0.0006719534021085369,-0.05244259660305629,0.14965147169608076,0.324
Model_3_FD_Components,Year_2012,9.709835803204802e-05,0.05543540050417944,0.00037700692240982565,-0.10474693957306885,0.1059782755001333,0.952
Model_3_FD_Components,Year_2013,0.059357000204694914,0.055722354251789306,0.0004025679013958741,-0.05221127734761499,0.16216922602852651,0.292
Model_3_FD_Components,Year_2014,0.018974805745582836,0.05706650756134661,-0.0014927887873398132,-0.08679597956533149,0.133445191375131,0.776
Model_3_FD_Components,Year_2015,0.06921618269178284,0.04925042145269015,0.000662556556400018,-0.026003960941020365,0.16732898217849743,0.16
Model_3_FD_Components,Year_2016,0.0008106768985197263,0.0548515506962314,0.0007135140535457166,-0.10821949379093199,0.1101726935044378,0.988
Model_3_FD_Components,Year_2017,0.00012383197464654614,0.05822378306892905,-0.0003649736805271098,-0.10848031744963926,0.11977310757793211,0.972
Model_3_FD_Components,Year_2018,0.005799331865469113,0.0509691366628791,0.0035576260513338898,-0.09080811188049509,0.10461476734650504,0.764
Model_3_FD_Components,Year_2019,0.04809681016756377,0.06225763848129748,-0.00047543194632518326,-0.06787802061728154,0.1762334613114678,0.42
Model_3_FD_Components,Year_2020,-0.06260513862608699,0.0839281032782562,-7.497315362743617e-05,-0.2279340601485168,0.1059725550278284,0.468
Model_4_Fully_Disaggregated,const,0.34019229853363553,0.051790603066425404,-0.00038351428347604966,0.23445439131904133,0.43967074521734884,0.0
Model_4_Fully_Disaggregated,WGI_GE,-0.19505961277850214,0.03848951566729942,0.003069963516088847,-0.2692708147460223,-0.11126480904394914,0.0
Model_4_Fully_Disaggregated,WGI_CC,0.14289622250765396,0.036663472033780745,-0.002931699375835095,0.07239757689966983,0.2174934730428995,0.0
Model_4_Fully_Disaggregated,WGI_RL,-0.0017248096327397615,0.04435206123695029,0.0023152827622624672,-0.09038310865347499,0.07677602813857833,0.948
Model_4_Fully_Disaggregated,Financial_Institutions_Access_Index,-0.5135961319440987,0.049182859676505306,0.00827178682095736,-0.6038439924289994,-0.41312874436836244,0.0
Model_4_Fully_Disaggregated,Financial_Institutions_Depth_Index,-0.475637342575187,0.0877810315621188,0.0068376653879313465,-0.6517007920246787,-0.3013336606070879,0.0
Model_4_Fully_Disaggregated,Financial_Institutions_Efficiency_Index,0.15347791235912764,0.07853485878185092,0.001105663067756113,0.007806978779372531,0.31097613177274835,0.056
Model_4_Fully_Disaggregated,Financial_Markets_Access_Index,-0.06398410511915069,0.04791336114826191,-0.000664816102439153,-0.15958889921605057,0.03248047442163435,0.164
Model_4_Fully_Disaggregated,Financial_Markets_Depth_Index,0.45625502919705035,0.08634616769150424,-0.003925203071091121,0.2784453546698541,0.6175790087212861,0.0
Model_4_Fully_Disaggregated,Financial_Markets_Efficiency_Index,0.02359295120291591,0.042864790318543906,-0.0018935040792537293,-0.06224657422410254,0.10849796355413559,0.672
Model_4_Fully_Disaggregated,Year_2001,-0.03614505614236173,0.05342841183091228,-0.001115181527780125,-0.13746512158095298,0.07125959466021907,0.464
Model_4_Fully_Disaggregated,Year_2002,-0.012997762476672003,0.05191207358851375,-0.001270777242425315,-0.12144287987362486,0.08695681867296645,0.768
Model_4_Fully_Disaggregated,Year_2003,-0.06957319539468287,0.04972652934397067,0.0018135560505519593,-0.16619724590984938,0.033974294402940614,0.168
Model_4_Fully_Disaggregated,Year_2004,-0.057035396488320414,0.0511748832809181,0.0018106250088148132,-0.15418118491932034,0.04457167107775854,0.316
Model_4_Fully_Disaggregated,Year_2005,-0.07246200194517098,0.050373968995276394,-0.002975269809831732,-0.16822282744046607,0.031109487313343342,0.116
Model_4_Fully_Disaggregated,Year_2006,0.014146150134446669,0.04806892832575316,0.00012894772822942373,-0.08134825209476493,0.10698481688768231,0.764
Model_4_Fully_Disaggregated,Year_2007,-0.052128333351394156,0.052442564734745414,0.0010105486467910027,-0.15559673511037775,0.05177492406562992,0.316
Model_4_Fully_Disaggregated,Year_2008,-0.07190775117501583,0.05735081081944682,-0.0007179049172032215,-0.1804080958737048,0.0352143692399319,0.196
Model_4_Fully_Disaggregated,Year_2009,-0.019901385018030696,0.04875522561885519,-0.00015964068802083384,-0.11272742303558292,0.07558235296281407,0.688
Model_4_Fully_Disaggregated,Year_2010,0.05665936392613673,0.0477706893858912,-0.0004132157126049002,-0.04006114349771822,0.15038241245966757,0.256
Model_4_Fully_Disaggregated,Year_2011,0.012424414837903446,0.04959928814495401,-0.0011974192364337145,-0.08539181199181266,0.10572197962149325,0.852
Model_4_Fully_Disaggregated,Year_2012,-0.02296885291321092,0.05164460829996911,0.002143201401029686,-0.11954130207639083,0.07765087825243348,0.72
Model_4_Fully_Disaggregated,Year_2013,0.029413549979044475,0.05229711405018862,-0.003864791915325138,-0.08056568873224959,0.13506881481052682,0.684
Model_4_Fully_Disaggregated,Year_2014,-0.02705745621702509,0.0521266768337028,0.0037917300379947845,-0.12826250641419634,0.06811736085782792,0.704
Model_4_Fully_Disaggregated,Year_2015,0.03163849147286436,0.048260202125607256,0.001046796943065642,-0.06454165980672773,0.12809862135210948,0.5
Model_4_Fully_Disaggregated,Year_2016,-0.026162025990629063,0.05079996888263965,-0.0005754856332856016,-0.1332812609791079,0.06718498603090367,0.54
Model_4_Fully_Disaggregated,Year_2017,-0.04120116656861001,0.053566111262878253,0.0028687111487958813,-0.14575374900979832,0.06299270513067437,0.52
Model_4_Fully_Disaggregated,Year_2018,-0.03663152494993192,0.047765098166468296,0.0003692329691506943,-0.1357528287190096,0.04721371449040333,0.38
Model_4_Fully_Disaggregated,Year_2019,0.02128497327296154,0.058688348959321804,-0.0003740394625810946,-0.08953937114394125,0.14315118412685335,0.72
Model_4_Fully_Disaggregated,Year_2020,-0.0961888181333387,0.07975103615990248,0.001826545876424862,-0.23775704127856062,0.06454942875545469,0.232
