Country Name,che,oop_share,gov_share,predicted_che,residuals
Afghanistan,17.3475,77.27073738681817,2.4960310731818183,14.613004982963236,2.734495017036764
Angola,23.895,31.19810557375,5.11845988,6.227795965202724,17.667204034797276
Albania,16.472,54.37871090708333,9.103419622083333,11.743583612115618,4.7284163878843835
United Arab Emirates,0.372,18.781611998749998,9.0340123775,4.752551404635988,-4.380551404635988
Argentina,13.235,26.919627348749998,16.261356989166668,8.114009176424268,5.120990823575731
Armenia,15.526499999999999,74.80410862000001,6.2449730429166666,15.046367710409127,0.4801322895908715
Australia,2.4000000000000004,18.103430112083334,16.934221347083334,6.551285219013864,-4.151285219013864
Azerbaijan,7.4275,64.91241010083333,3.56268950375,12.452601635218672,-5.025101635218672
Burundi,6.84,33.49609072875,6.661143083333333,7.055195379148597,-0.21519537914859743
Belgium,11.45,20.308940092083333,14.361861944166668,6.354439398082115,5.095560601917884
Benin,9.405000000000001,48.11014382041666,5.08246174375,9.532343240322856,-0.1273432403228547
Burkina Faso,5.869999999999999,39.72331134458333,7.496310233749999,8.479409538281576,-2.609409538281577
Bangladesh,16.4575,69.44908046791666,3.9048516162499998,13.425069239437187,3.0324307605628125
Bulgaria,15.465714285714284,40.60901546458333,10.885886590833332,9.48168500130247,5.984029284411815
Bahrain,4.055,27.938007593333335,8.7373680475,6.473911650757822,-2.4189116507578223
Bosnia and Herzegovina,10.2725,34.14232158666667,12.9262511525,8.713621489492311,1.5588785105076894
Belarus,6.357727272727273,26.582773923333335,9.694412669583334,6.442396281193028,-0.08466900846575509
Belize,6.2,26.906179904166663,10.798341491666667,6.775667446642653,-0.5756674466426528
Bolivia,7.115555555555556,29.536980946249997,10.177055179999998,7.139180521178067,-0.023624965622510707
Brazil,13.440000000000001,29.997791925,8.91550290625,6.921011536212016,6.518988463787985
Barbados,16.37,40.45832427416667,10.82809021125,9.438030884170582,6.931969115829419
Bhutan,4.2,17.516262332916668,7.55701184125,4.143521822168,0.05647817783200004
Botswana,2.66,5.820076774166668,10.232364235416666,2.5061686557835268,0.15383134421647338
Central African Republic,6.75,51.47526168875,6.697631656666666,10.586534652399484,-3.836534652399484
Canada,3.5733333333333333,15.2808122248,17.756960716400002,6.199447310319851,-2.6261139769865176
Switzerland,8.445833333333335,24.710591237083335,10.351562399583333,6.236277730922964,2.2095556024103704
Chile,11.713333333333333,36.634103164399995,15.143416328399999,9.74389966262373,1.969433670709602
China,18.4725,44.52036476166668,8.307003239166667,9.617446292646461,8.85505370735354
Cameroon,13.1,72.65498415625,3.6270562629166663,13.985237992516234,-0.8852379925162346
"Congo, Dem. Rep.",5.3149999999999995,49.076809088333334,3.3095269616666663,9.288246490908945,-3.973246490908945
"Congo, Rep.",4.58,42.00905879250001,3.3122231116666665,7.904216181267937,-3.3242161812679365
Colombia,14.100000000000001,15.405395927199999,16.5572033688,5.930514682691256,8.169485317308744
Comoros,8.81,70.4589039475,4.832869092916667,13.84981065919471,-5.039810659194709
Cabo Verde,2.4299999999999997,25.252541462916668,10.332228699166667,6.337727680417679,-3.907727680417679
Costa Rica,6.53,26.20302073166667,28.22045779166667,10.897613900251395,-4.367613900251395
Cyprus,15.395,42.038923025,7.84163918125,9.017509195367753,6.377490804632247
Czechia,1.7811111111111113,13.137877502399999,14.329498410416667,4.9415964045991405,-3.160485293488029
Germany,1.53,12.4194789508,17.92565254375,5.680109807550371,-4.150109807550371
Djibouti,1.6199999999999999,29.939098197916664,5.729403425833333,6.130511218329214,-4.5105112183292135
Denmark,2.93,14.001627616799999,15.7518342968,5.458580467942906,-2.528580467942906
Dominican Republic,12.915,38.880057970416665,13.167472142916667,9.700801159708014,3.214198840291985
Ecuador,14.34,43.804844300000006,9.265333394166666,9.711575664511225,4.628424335488775
"Egypt, Arab Rep.",25.282500000000002,60.38219706166666,5.311369457916666,11.992609961588736,13.289890038411267
Spain,6.273571428571429,22.760581016249997,14.389619031666664,6.841543128567344,-0.5679716999959155
Estonia,9.563999999999998,22.493228683600005,11.877652327083332,6.174988575568485,3.389011424431513
Ethiopia,2.075,38.21425167583333,5.821848074166667,7.774353761777448,-5.699353761777448
Finland,6.706666666666667,18.501814644166668,13.450145760416667,5.777478963305902,0.929187703360765
Fiji,0.78,17.435185372916667,8.682108223333334,4.402723538095492,-3.6227235380954914
Gabon,4.75,35.36799112958333,7.187307894583333,7.550579000725422,-2.8005790007254223
United Kingdom,2.0569999999999995,14.8545284656,18.750596204999997,6.35887510305123,-4.3018751030512306
Georgia,22.48904761904762,68.33964602125,7.560782987916667,14.101587757568533,8.387459861479089
Ghana,1.9733333333333334,33.13139947333333,8.804354170833333,7.5077613701705515,-5.534428036837218
Guinea,6.046666666666667,62.4024353025,3.2322253691666667,11.88005746574814,-5.833390799081473
"Gambia, The",0.405,19.835509380416667,6.133005142499999,4.249731186767717,-3.844731186767717
Guinea-Bissau,5.6000000000000005,57.93525091749999,3.0157070154166665,10.95192321387643,-5.35192321387643
Greece,15.765,34.35908468666667,9.932740568749999,8.02417571354782,7.740824286452181
Grenada,3.17,53.62455542875,7.792279085,11.275258215981845,-8.105258215981845
Guatemala,8.163333333333332,58.52184120791667,15.872467915833333,14.210323699935481,-6.046990366602149
Honduras,1.14,49.806770325416664,11.926810345000002,11.538183576806034,-10.398183576806034
Croatia,2.48,12.531250594999998,12.357119043333334,4.3405014252444225,-1.8605014252444225
Haiti,10.485,40.77365247375,5.7476347075000005,8.257637665491623,2.227362334508376
Hungary,10.791666666666666,26.751199165833338,10.04389115125,6.560841059943963,4.2308256067227035
Indonesia,3.142631578947369,44.02584036166667,6.0412261775000005,8.966578324997512,-5.823946746050143
India,15.605,63.12412961333333,3.3500958095833333,12.050268671971386,3.5547313280286144
Ireland,5.59,12.49963955,18.10648234625,5.740027480768885,-0.15002748076888484
"Iran, Islamic Rep.",14.607499999999998,48.66032330208333,15.519063670833333,12.191881436615985,2.4156185633840135
Iraq,8.853333333333333,44.856195723333336,4.40962971952381,8.7303334206329,0.12299991270043265
Israel,11.659374999999999,24.545000553333335,10.721176305833334,6.294206360086613,5.365168639913386
Italy,9.05,22.876682205199998,12.985034585,6.52086841525904,2.529131584740961
Jamaica,10.316666666666666,34.01908119541667,10.865250189583334,8.185561968793985,2.131104697872681
Jordan,2.9625000000000004,32.76138575833333,12.423285325,8.320098122418605,-5.3575981224186044
Japan,9.683333333333332,13.979797999166669,20.558556318749996,6.629547097746439,3.0537862355868928
Kazakhstan,2.601578947368421,32.34000253666667,9.580744921666666,7.542541102230168,-4.940962154861747
Kenya,5.37,32.735095978333334,7.57531772,7.129619560422268,-1.7596195604222675
Kyrgyz Republic,3.7584615384615385,46.952383835000006,8.722845712916666,10.195592644298227,-6.437131105836688
Cambodia,16.596666666666668,57.64144976875,7.597033739166666,12.014496964680033,4.5821697019866345
Kiribati,0.0,0.5563119816666666,9.91821680375,1.3981007818135323,-1.3981007818135323
St. Kitts and Nevis,4.13,50.658257325833326,6.824685494583332,10.457534605950226,-6.327534605950226
"Korea, Rep.",11.69375,37.9912833412,11.4534861176,9.107605927155614,2.5861440728443856
Lao PDR,8.77,42.88146670625,4.3282747175,8.323559954694344,0.4464400453056552
Lebanon,26.6,40.65910689,10.8996949,9.494874873671385,17.105125126328616
Liberia,12.313333333333333,52.19965060541667,4.150832042083333,10.105762014884858,2.2075713184484744
St. Lucia,6.17,50.779949665416666,7.915736952916667,10.74813820806848,-4.578138208068481
Sri Lanka,5.548,45.92906347875,9.109950482499999,10.089754318798137,-4.541754318798137
Lesotho,4.51,21.05605349958333,9.317502775833333,5.26746561691469,-0.7574656169146898
Lithuania,11.660000000000002,30.0181327048,11.907838383333333,7.656622581585369,4.003377418414633
Luxembourg,3.7489999999999997,10.9799995812,12.172886429199998,3.9915407509452905,-0.24254075094529082
Latvia,15.49,38.95374409375,9.250256220416667,8.75747829857337,6.732521701426631
Morocco,13.774999999999999,51.115902741666666,6.087188602083333,10.366876962292352,3.4081230377076466
Moldova,13.84681818181818,41.67303133041667,12.357897281666666,10.050049935675503,3.796768246142678
Madagascar,1.5733333333333333,32.343108732500006,10.950249909583334,7.877993592767043,-6.304660259433709
Maldives,12.476666666666665,35.283119201666665,13.927127163333333,9.181836824671823,3.294829841994842
Mexico,2.87,45.877372900416674,10.578168035,10.438606431910722,-7.568606431910722
North Macedonia,6.868,38.5235404975,12.8826454075,9.56131334340462,-2.69331334340462
Mali,2.496,49.69666536666667,4.992630133333333,9.821205300934674,-7.325205300934673
