Metric,Value
Observations,871
Countries,156
Years,22
Mean_Score,0.2223275711843464
Std_Dev,0.17439742116818518
Min_Score,0.050249226400828594
Max_Score,1.0000000000000824
Efficient_DMUs,1
Efficient_Percentage,0.1%
