Variable,Coefficient,Std_Error,t_value,P_value,CI_2.5%,CI_97.5%
Intercept,-1.1358937232783148,1.7430050786095312,-0.6516869842883448,0.5146031207661266,-4.552120902223402,2.280333455666772
OOP share,0.19591658735663176,0.025762792153777827,7.604633309433534,2.857128257209242e-14,0.14542244259403614,0.24641073211922737
GGHE_D,0.24449997495731632,0.10973654154722559,2.228063428189002,0.025876285625772235,0.029420305736770874,0.4595796441778618
