Country Name,Country Code,Year,CHE_PPP,CHE10,FPE,GGHE_pct,DEA_Efficiency
Canada,CAN,2003,2897.40001637717,3.3,96.7,16.36354446,0.07784141101664453
Czechia,CZE,2003,1274.92730506871,0.63,99.37,11.61948967,0.34014400381212423
Estonia,EST,2003,672.703697615615,10.04,89.96000000000001,11.07697296,0.1215228355495879
Georgia,GEO,2003,333.604463440646,12.05,87.95,7.13276815,0.2149247271608099
Hungary,HUN,2003,1255.44650765541,12.37,87.63,11.56948948,0.11009659433996045
India,IND,2003,100.39838087148,15.41,84.59,2.67687607,0.6308182052195663
Israel,ISR,2003,1738.98863709116,11.7,88.3,9.23413563,0.13794051127663606
Jamaica,JAM,2003,359.429609639169,10.37,89.63,6.13759899,0.2235541669245457
Kazakhstan,KAZ,2003,392.159810668837,2.32,97.68,9.5652113,0.1733149485705218
Kyrgyz Republic,KGZ,2003,122.861730716217,1.28,98.72,8.07252979,0.37659216054745337
"Korea, Rep.",KOR,2003,1031.26959440773,8.33,91.67,7.48593473,0.1701539535063513
Lithuania,LTU,2003,743.03580632439,11.51,88.49,13.67591095,0.10425483823477821
Latvia,LVA,2003,603.085565731893,10.5,89.5,8.08213711,0.15760205161874508
Moldova,MDA,2003,188.043305083102,10.61,89.39,9.59353638,0.21897245436681256
North Macedonia,MKD,2003,578.590105129344,6.73,93.27,13.76112652,0.11689570480350359
Nigeria,NGA,2003,151.947780877129,22.53,77.47,4.00685167,0.4195206985388394
Nepal,NPL,2003,63.9174537235156,9.97,90.03,5.52154541,0.4271851707417987
Panama,PAN,2003,626.215378006361,11.93,88.07,17.18168831,0.09943418555596231
Philippines,PHL,2003,115.727563442286,2.94,97.06,5.4588623,0.3883086479831755
Poland,POL,2003,731.393089609383,11.73,88.27,8.952384,0.1422818089572561
Romania,ROU,2003,405.095649398029,7.95,92.05,12.99804401,0.13961122308022592
Russian Federation,RUS,2003,508.002454591701,1.41,98.59,9.20299911,0.2982326757651965
