Country Name,Country Code,Year,CHE_PPP,CHE10,FPE,OOP_pct,DEA_Efficiency
Poland,POL,2002,715.971942783324,12.29,87.71000000000001,26.44939995,0.17205498699012559
Romania,ROU,2002,326.26868972151,7.61,92.39,17.83514595,0.32041139568193366
Russian Federation,RUS,2002,473.454964829201,3.16,96.84,31.21293449,0.2014276046821381
Thailand,THA,2002,271.727906178773,3.98,96.02,27.89708328,0.27285600209599603
Turkiye,TUR,2002,462.405801315857,6.01,93.99,20.32076836,0.24886120736765852
Uganda,UGA,2002,51.7066588334314,9.57,90.43,44.01206207,0.49551255459427324
Ukraine,UKR,2002,295.673439591646,12.41,87.59,45.11745834,0.19253024263991167
United States,USA,2002,5327.93694234898,6.32,93.68,14.32717609,0.03528512432951153
Uzbekistan,UZB,2002,175.44966772588,6.2,93.8,62.07057571,0.20563491824512814
Viet Nam,VNM,2002,116.195131228637,12.72,87.28,34.54223251,0.3255954499288968
Armenia,ARM,2003,288.424583011174,10.61,89.39,76.42555237,0.13638980105767864
Azerbaijan,AZE,2003,124.037865253384,6.99,93.01,69.0607605,0.24933672050324046
Benin,BEN,2003,57.3988069383056,11.11,88.89,51.67531586,0.43395774404797616
Burkina Faso,BFA,2003,45.9000438327367,8.46,91.53999999999999,52.65977097,0.4760616569640925
Belarus,BLR,2003,439.027305638964,4.05,95.95,20.16473579,0.2573117421531142
Bhutan,BTN,2003,143.267529452089,5.38,94.62,19.00845528,0.43789951801492805
Canada,CAN,2003,2897.40001637717,3.3,96.7,15.2514801,0.062416255104630086
Czechia,CZE,2003,1274.92730506871,0.63,99.37,10.36722469,0.1360810989814062
Estonia,EST,2003,672.703697615615,10.04,89.96000000000001,21.09503937,0.19402462889069247
Georgia,GEO,2003,333.604463440646,12.05,87.95,79.20792389,0.122358832031319
Hungary,HUN,2003,1255.44650765541,12.37,87.63,26.35519791,0.11688431817861702
India,IND,2003,100.39838087148,15.41,84.59,73.42475128,0.274357617894037
Israel,ISR,2003,1738.98863709116,11.7,88.3,28.62854767,0.08922959102511682
Jamaica,JAM,2003,359.429609639169,10.37,89.63,44.69155502,0.1823380533492193
Kazakhstan,KAZ,2003,392.159810668837,2.32,97.68,44.54787064,0.1773210565344884
Kyrgyz Republic,KGZ,2003,122.861730716217,1.28,98.72,51.07936859,0.2794430672206724
"Korea, Rep.",KOR,2003,1031.26959440773,8.33,91.67,45.23080063,0.11167635625239761
Lithuania,LTU,2003,743.03580632439,11.51,88.49,24.18149185,0.17346608723337073
Latvia,LVA,2003,603.085565731893,10.5,89.5,48.56236267,0.1419828586772702
Moldova,MDA,2003,188.043305083102,10.61,89.39,48.30680466,0.21133096019340017
North Macedonia,MKD,2003,578.590105129344,6.73,93.27,43.79019547,0.1531794213513195
Nigeria,NGA,2003,151.947780877129,22.53,77.47,72.81436157,0.2152838851386359
Nepal,NPL,2003,63.9174537235156,9.97,90.03,53.80937958,0.40304106257245825
Panama,PAN,2003,626.215378006361,11.93,88.07,33.06431961,0.16964012384499577
Philippines,PHL,2003,115.727563442286,2.94,97.06,47.70053482,0.2974983464748063
Poland,POL,2003,731.393089609383,11.73,88.27,27.58094215,0.16713504935693202
Romania,ROU,2003,405.095649398029,7.95,92.05,15.12717533,0.3028723149919527
Russian Federation,RUS,2003,508.002454591701,1.41,98.59,33.27987289,0.1883376719587294
Sierra Leone,SLE,2003,68.440240316632,35.93,64.07,78.75598145,0.31872752967924106
Serbia,SRB,2003,585.422590251339,7.75,92.25,24.97764397,0.19896106568130908
Syrian Arab Republic,SYR,2003,233.125708036007,5.54,94.46,51.56237793,0.18513072247536275
Chad,TCD,2003,59.3205798268326,6.28,93.72,47.41553116,0.44537613931626413
Turkiye,TUR,2003,473.913584390073,4.73,95.27,18.93056297,0.25230826462319705
Ukraine,UKR,2003,363.412242510875,10.22,89.78,41.02519226,0.1921200560094354
United States,USA,2003,5732.24369331565,5.79,94.21,14.1500597,0.03290787842657308
Uzbekistan,UZB,2003,185.780236308559,6.66,93.34,59.28883362,0.19988267838183854
Argentina,ARG,2004,859.721256884155,16.9,83.1,28.15113449,0.14960686561962117
Armenia,ARM,2004,277.528911953218,16.46,83.53999999999999,71.58870697,0.14299905795275183
Azerbaijan,AZE,2004,134.272396332243,7.63,92.37,65.92002106,0.2415147329213767
Belarus,BLR,2004,502.898047572918,3.27,96.73,19.22298622,0.2418318573506218
Canada,CAN,2004,3057.41927474776,3.2,96.8,15.28786945,0.05938078614366584
"Congo, Dem. Rep.",COD,2004,19.7649795275692,5.81,94.19,72.11377716,0.9351464654702399
Costa Rica,CRI,2004,638.741883417573,4.36,95.64,32.05981445,0.17016523718226914
Czechia,CZE,2004,1329.6021429386,0.82,99.18,10.70501423,0.13063402648106434
Estonia,EST,2004,773.81126179819,11.57,88.43,22.94197273,0.17180699790175422
Ethiopia,ETH,2004,24.082866233605,0.82,99.18,34.86631393,0.7897983336204614
Georgia,GEO,2004,367.732594270678,11.76,88.24,79.43696594,0.11953952112181791
Honduras,HND,2004,205.734823839806,1.14,98.86,50.05726242,0.19652578968522713
Croatia,HRV,2004,954.518033212497,2.39,97.61,18.12159729,0.15752571199475257
Hungary,HUN,2004,1260.98469924248,10.27,89.73,25.83203506,0.11708277084567283
Indonesia,IDN,2004,131.431859149521,2.06,97.94,45.9106369,0.27551429158852103
Israel,ISR,2004,1823.98454141895,12.37,87.63,28.72548866,0.08584866860580455
Jamaica,JAM,2004,434.746511794726,10.2,89.8,40.38105011,0.18128348242843015
Kazakhstan,KAZ,2004,469.091390586397,2.63,97.37,41.03963089,0.17405917192113773
Kyrgyz Republic,KGZ,2004,142.612046533621,8.62,91.38,46.596138,0.2587259772549251
"Korea, Rep.",KOR,2004,1102.66498622514,8.25,91.75,44.82784653,0.10769354177049516
Lithuania,LTU,2004,713.57653964931,11.98,88.02,32.91969299,0.15801491039284662
Latvia,LVA,2004,757.087107803931,12.08,87.92,40.63125992,0.1392670032401662
Moldova,MDA,2004,265.744397851625,9.44,90.56,38.17024994,0.2235254599933918
Maldives,MDV,2004,828.120500716886,7.33,92.67,59.50085068,0.11007912249243747
North Macedonia,MKD,2004,591.410797433509,7.19,92.81,42.53265762,0.15406117374945408
Mauritania,MRT,2004,98.0962952420062,10.54,89.46000000000001,70.48690033,0.2830634796527413
Malawi,MWI,2004,40.6890652066302,0.31,99.69,9.69992733,1.0000000000000002
Pakistan,PAK,2004,62.0847512223923,3.37,96.63,60.75031281,0.3841800732510879
Poland,POL,2004,783.504642444952,12.74,87.26,29.44409943,0.15622183080474994
West Bank and Gaza,PSE,2004,304.624445897564,7.91,92.09,36.20000076,0.22167739538330986
Romania,ROU,2004,490.854630694608,9.62,90.38,24.32698631,0.22268261252811347
Russian Federation,RUS,2004,517.623550729638,2.44,97.56,33.80615234,0.18512781431727746
Serbia,SRB,2004,664.98300282741,8.57,91.43,27.29331207,0.17790349590699198
Slovak Republic,SVK,2004,970.308366603134,5.28,94.72,21.23348236,0.14963471949884355
Thailand,THA,2004,299.621550631869,3.83,96.17,26.40885162,0.2713270032222076
Turkiye,TUR,2004,526.652459743728,5.57,94.43,20.18101692,0.23070636846616205
