Country Name,Country Code,Year,DEA_Efficiency,FPE,CHE_PPP,OOP_pct
Bangladesh,BGD,2000,0.6772728036295392,85.15,27.2905550706384,61.82206726
Belarus,BLR,2000,0.34211726572225454,97.29,316.620794668775,16.013731
Bolivia,BOL,2000,0.286487057131229,88.94,147.649016788093,33.50730133
Canada,CAN,2000,0.07339727570739199,96.7,2405.67150004447,16.60520935
Czechia,CZE,2000,0.1803994714225551,99.21,923.632574790482,10.1975069
Estonia,EST,2000,0.241632421193837,93.37,485.687718341864,20.33896255
United Kingdom,GBR,2000,0.08963232245100242,98.0,1895.92439875247,18.21689606
Georgia,GEO,2000,0.1636368798689899,87.62,217.030483039799,80.98433685
Guatemala,GTM,2000,0.1610452859782695,96.32,272.539677981635,58.98999405
Hungary,HUN,2000,0.15807966311070404,91.74,802.676557554202,27.32668304
India,IND,2000,0.3012592052893631,84.59,85.8442199233361,71.70202637
Kyrgyz Republic,KGZ,2000,0.3635680886202651,97.64,80.1123774476418,51.64644623
Lithuania,LTU,2000,0.20494645608149104,89.94,521.799343451219,27.15216637
Morocco,MAR,2000,0.24734903618914295,88.5,143.244423675375,53.86581421
Moldova,MDA,2000,0.2838723433983133,93.11,124.540222789945,47.17256546
North Macedonia,MKD,2000,0.1618193133394279,98.01,537.53067812623,42.08673859
Peru,PER,2000,0.22779357261652017,88.18,215.482857504425,40.28141403
Philippines,PHL,2000,0.3378907702690705,97.17,102.821933040413,41.19496918
Poland,POL,2000,0.18448785878573162,87.61,564.333435262893,31.12003899
Paraguay,PRY,2000,0.16285306537906685,90.77,417.524577825954,49.09693146
Romania,ROU,2000,0.3519576343142145,92.97,246.026072323928,19.41972351
Russian Federation,RUS,2000,0.2304875898592322,96.78,366.798169502002,30.20886612
Rwanda,RWA,2000,0.9679299585460523,91.56,21.7804527114344,26.58733177
Eswatini,SWZ,2000,0.3869865414326247,91.24,209.925583105027,18.52517891
Thailand,THA,2000,0.2534338034151434,94.37,226.053621678033,34.18558884
Tunisia,TUN,2000,0.21325782961200476,77.46000000000001,300.619191896892,38.62985992
Tanzania,TZA,2000,0.6338684704315858,94.99,35.7209386063051,38.47019196
United States,USA,2000,0.040932222649581955,94.06,4548.55482518934,15.11737442
Uzbekistan,UZB,2000,0.2213760021018323,91.86,159.591652250094,60.58262634
Armenia,ARM,2001,0.2588057127503635,88.01,137.599041293042,50.87960052
Bulgaria,BGR,2001,0.1676730895006957,92.72,469.278627742871,43.70613098
Bosnia and Herzegovina,BIH,2001,0.1855958015346309,85.9,394.056010421098,41.3520546
Belarus,BLR,2001,0.28023128525581725,95.93,367.78688402911,20.72087097
Bolivia,BOL,2001,0.28204410444040184,92.1,165.704082560183,33.05337524
Canada,CAN,2001,0.06889235216734943,97.1,2591.25879818127,15.92599487
Cameroon,CMR,2001,0.28534196591929967,79.42,91.3232099667445,75.10469818
Cabo Verde,CPV,2001,0.37953786891366,97.19,142.872662297639,23.3310833
Czechia,CZE,2001,0.16308973706703717,99.43,1031.86220701417,10.64326668
Georgia,GEO,2001,0.15562069862480155,86.05,238.28911793678,76.43830109
Hungary,HUN,2001,0.1439365682490699,91.66,900.733980760049,28.81419945
Indonesia,IDN,2001,0.3206623929471597,97.44,111.717915210114,40.49210739
India,IND,2001,0.2807279797839585,85.14,95.4058154088415,74.1062088
Israel,ISR,2001,0.0836478951991769,87.76,1858.37215319485,30.3302002
Italy,ITA,2001,0.07652661285743856,91.19,2170.31340970543,24.47626686
Kazakhstan,KAZ,2001,0.1997476783224341,97.83,297.396598186705,42.71286392
Kyrgyz Republic,KGZ,2001,0.3523153570170652,97.32,82.8230887383507,53.16455841
Lithuania,LTU,2001,0.19474858536239747,88.52,564.961459432522,27.58539391
Moldova,MDA,2001,0.2545670685593415,91.24,139.642169276076,51.94122314
Nicaragua,NIC,2001,0.24983220447881,84.05,159.959380618934,40.38275528
Pakistan,PAK,2001,0.40230881544853325,94.04,61.8534826574671,55.79309845
Poland,POL,2001,0.17915860157273514,87.6,630.267495766063,28.9781456
Romania,ROU,2001,0.33520397283691566,93.0,281.544304095558,18.94091988
Russian Federation,RUS,2001,0.2163323888522387,98.07,413.119757097163,30.79232025
Senegal,SEN,2001,0.3731114347646091,98.4,75.2441907337137,52.76372147
United States,USA,2001,0.0382057471668177,94.18,4901.67536216281,14.41595078
Albania,ALB,2002,0.18295498423285114,76.63,257.051227793997,50.85527039
Armenia,ARM,2002,0.1462163457168235,88.53,261.677018919282,75.23449707
Azerbaijan,AZE,2002,0.2604870312556969,93.03,111.519657988715,72.33946991
Belarus,BLR,2002,0.25868152667311123,96.16,389.188367334049,23.02361107
Bolivia,BOL,2002,0.2740425618172872,91.77,172.105025673811,33.92093658
Canada,CAN,2002,0.0657617760759979,97.0,2727.0447698299,15.9083395
China,CHN,2002,0.2247282821594846,87.73,153.543707505455,62.85082245
Cote d'Ivoire,CIV,2002,0.2768039620856343,81.53,95.9781370709401,75.83152771
Czechia,CZE,2002,0.15233174204600863,99.25,1127.05589555227,10.00170326
Djibouti,DJI,2002,0.38448305277146366,98.86,84.9293440276589,40.90150833
Georgia,GEO,2002,0.1374699379475583,86.23,283.725326802592,77.12854767
Guinea,GIN,2002,0.37777749553720524,90.33,65.8833758377763,59.40449905
Guinea-Bissau,GNB,2002,0.4673877056724588,94.51,42.4157692645454,57.38740921
Hungary,HUN,2002,0.13307590910062606,90.3,1032.77498460196,27.51259041
Indonesia,IDN,2002,0.31193119815250236,97.71,109.350278655416,46.37796402
Israel,ISR,2002,0.08523973537026937,87.86,1854.44348384301,27.84285736
Jamaica,JAM,2002,0.19830214112194572,89.62,382.287986260346,37.86093903
Jordan,JOR,2002,0.15856976580608978,98.52,604.100857834215,39.48170853
Kazakhstan,KAZ,2002,0.18176104397335952,97.88,343.568143784741,45.89466095
Kyrgyz Republic,KGZ,2002,0.3406289973088789,97.6,89.5114157241061,51.66136932
Lao PDR,LAO,2002,0.3615567439718737,96.93,83.1760958955142,49.66936493
Lithuania,LTU,2002,0.18639958859889819,87.92,641.827038469407,25.60276031
Latvia,LVA,2002,0.14627587480541382,90.81,578.263433090025,47.58166504
Moldova,MDA,2002,0.21876864172413593,90.42,181.921681252169,46.51903915
North Macedonia,MKD,2002,0.15799244440421642,93.42,559.140278442583,42.5700264
Mongolia,MNG,2002,0.35267304559029156,98.72,219.676844585463,20.9937973
Mozambique,MOZ,2002,0.9999999999999996,99.17,18.4831507452979,27.98241615
Poland,POL,2002,0.17205498699012559,87.71000000000001,715.971942783324,26.44939995
Romania,ROU,2002,0.32041139568193366,92.39,326.26868972151,17.83514595
Russian Federation,RUS,2002,0.2014276046821381,96.84,473.454964829201,31.21293449
Thailand,THA,2002,0.27285600209599603,96.02,271.727906178773,27.89708328
Turkiye,TUR,2002,0.24886120736765852,93.99,462.405801315857,20.32076836
Uganda,UGA,2002,0.49551255459427324,90.43,51.7066588334314,44.01206207
Ukraine,UKR,2002,0.19253024263991167,87.59,295.673439591646,45.11745834
United States,USA,2002,0.03528512432951153,93.68,5327.93694234898,14.32717609
Uzbekistan,UZB,2002,0.20563491824512814,93.8,175.44966772588,62.07057571
Viet Nam,VNM,2002,0.3255954499288968,87.28,116.195131228637,34.54223251
Armenia,ARM,2003,0.13638980105767864,89.39,288.424583011174,76.42555237
Azerbaijan,AZE,2003,0.24933672050324046,93.01,124.037865253384,69.0607605
Benin,BEN,2003,0.43395774404797616,88.89,57.3988069383056,51.67531586
Burkina Faso,BFA,2003,0.4760616569640925,91.53999999999999,45.9000438327367,52.65977097
Belarus,BLR,2003,0.2573117421531142,95.95,439.027305638964,20.16473579
Bhutan,BTN,2003,0.43789951801492805,94.62,143.267529452089,19.00845528
Canada,CAN,2003,0.062416255104630086,96.7,2897.40001637717,15.2514801
Czechia,CZE,2003,0.1360810989814062,99.37,1274.92730506871,10.36722469
Estonia,EST,2003,0.19402462889069247,89.96000000000001,672.703697615615,21.09503937
Georgia,GEO,2003,0.122358832031319,87.95,333.604463440646,79.20792389
Hungary,HUN,2003,0.11688431817861702,87.63,1255.44650765541,26.35519791
India,IND,2003,0.274357617894037,84.59,100.39838087148,73.42475128
Israel,ISR,2003,0.08922959102511682,88.3,1738.98863709116,28.62854767
Jamaica,JAM,2003,0.1823380533492193,89.63,359.429609639169,44.69155502
Kazakhstan,KAZ,2003,0.1773210565344884,97.68,392.159810668837,44.54787064
Kyrgyz Republic,KGZ,2003,0.2794430672206724,98.72,122.861730716217,51.07936859
"Korea, Rep.",KOR,2003,0.11167635625239761,91.67,1031.26959440773,45.23080063
Lithuania,LTU,2003,0.17346608723337073,88.49,743.03580632439,24.18149185
Latvia,LVA,2003,0.1419828586772702,89.5,603.085565731893,48.56236267
Moldova,MDA,2003,0.21133096019340017,89.39,188.043305083102,48.30680466
North Macedonia,MKD,2003,0.1531794213513195,93.27,578.590105129344,43.79019547
Nigeria,NGA,2003,0.2152838851386359,77.47,151.947780877129,72.81436157
Nepal,NPL,2003,0.40304106257245825,90.03,63.9174537235156,53.80937958
Panama,PAN,2003,0.16964012384499577,88.07,626.215378006361,33.06431961
Philippines,PHL,2003,0.2974983464748063,97.06,115.727563442286,47.70053482
Poland,POL,2003,0.16713504935693202,88.27,731.393089609383,27.58094215
Romania,ROU,2003,0.3028723149919527,92.05,405.095649398029,15.12717533
Russian Federation,RUS,2003,0.1883376719587294,98.59,508.002454591701,33.27987289
Sierra Leone,SLE,2003,0.31872752967924106,64.07,68.440240316632,78.75598145
Serbia,SRB,2003,0.19896106568130908,92.25,585.422590251339,24.97764397
Syrian Arab Republic,SYR,2003,0.18513072247536275,94.46,233.125708036007,51.56237793
Chad,TCD,2003,0.44537613931626413,93.72,59.3205798268326,47.41553116
Turkiye,TUR,2003,0.25230826462319705,95.27,473.913584390073,18.93056297
Ukraine,UKR,2003,0.1921200560094354,89.78,363.412242510875,41.02519226
United States,USA,2003,0.03290787842657308,94.21,5732.24369331565,14.1500597
Uzbekistan,UZB,2003,0.19988267838183854,93.34,185.780236308559,59.28883362
Argentina,ARG,2004,0.14960686561962117,83.1,859.721256884155,28.15113449
Armenia,ARM,2004,0.14299905795275183,83.53999999999999,277.528911953218,71.58870697
Azerbaijan,AZE,2004,0.2415147329213767,92.37,134.272396332243,65.92002106
Belarus,BLR,2004,0.2418318573506218,96.73,502.898047572918,19.22298622
Canada,CAN,2004,0.05938078614366584,96.8,3057.41927474776,15.28786945
"Congo, Dem. Rep.",COD,2004,0.9351464654702399,94.19,19.7649795275692,72.11377716
Costa Rica,CRI,2004,0.17016523718226914,95.64,638.741883417573,32.05981445
Czechia,CZE,2004,0.13063402648106434,99.18,1329.6021429386,10.70501423
Estonia,EST,2004,0.17180699790175422,88.43,773.81126179819,22.94197273
Ethiopia,ETH,2004,0.7897983336204614,99.18,24.082866233605,34.86631393
Georgia,GEO,2004,0.11953952112181791,88.24,367.732594270678,79.43696594
Honduras,HND,2004,0.19652578968522713,98.86,205.734823839806,50.05726242
Croatia,HRV,2004,0.15752571199475257,97.61,954.518033212497,18.12159729
Hungary,HUN,2004,0.11708277084567283,89.73,1260.98469924248,25.83203506
Indonesia,IDN,2004,0.27551429158852103,97.94,131.431859149521,45.9106369
Israel,ISR,2004,0.08584866860580455,87.63,1823.98454141895,28.72548866
Jamaica,JAM,2004,0.18128348242843015,89.8,434.746511794726,40.38105011
Kazakhstan,KAZ,2004,0.17405917192113773,97.37,469.091390586397,41.03963089
