iso3,country,year,income_group,fpe_score,phi,peers
ALB,Albania,2005,LM,0.8468315184571856,1.1808724382647766,"AZE,KAZ"
ARM,Armenia,2005,LM,0.9274036978790067,1.0782790733819831,"AZE,KAZ"
AZE,Azerbaijan,2005,LM,1.0,1.0,AZE
BLR,Belarus,2005,LM,1.0000000000000002,0.9999999999999998,BLR
GEO,Georgia,2005,LM,0.8795238329797818,1.1369788543558292,"AZE,KAZ"
KAZ,Kazakhstan,2005,LM,1.0000000000000002,0.9999999999999998,KAZ
MKD,North Macedonia,2005,LM,0.9454730417090539,1.0576716160964064,KAZ
TUN,Tunisia,2005,LM,0.8087871277509137,1.2364192822662914,"AZE,KAZ"
UKR,Ukraine,2005,LM,0.9530749854260202,1.049235385768733,"AZE,BLR,KAZ"
EST,Estonia,2005,UM,0.9079898218829516,1.1013339311736352,ZAF
HUN,Hungary,2005,UM,0.9097201017811705,1.0992392034012084,ZAF
LVA,Latvia,2005,UM,0.8907888040712468,1.1226005484460695,ZAF
POL,Poland,2005,UM,0.8691094147582699,1.1506031151188663,ZAF
ROU,Romania,2005,UM,0.9999999999999998,1.0000000000000002,ROU
TTO,Trinidad and Tobago,2005,UM,0.9915521628498728,1.0085198111270786,ZAF
URY,Uruguay,2005,UM,0.9716030534351144,1.0292269013199247,ZAF
ZAF,South Africa,2005,UM,1.0,1.0,ZAF
ARM,Armenia,2006,LM,0.9207740214624576,1.0860428038702792,"BLR,IRQ"
BLR,Belarus,2006,LM,1.0,1.0,BLR
GEO,Georgia,2006,LM,0.8636094173902752,1.157930865346375,"BLR,IRQ"
IRQ,Iraq,2006,LM,1.0,1.0,IRQ
MAR,Morocco,2006,LM,0.8064743835847626,1.239964988788633,"BLR,IRQ"
MKD,North Macedonia,2006,LM,0.9488099399495994,1.0539518589498755,"BLR,IRQ"
PER,Peru,2006,LM,0.9223282464296514,1.084212701791382,"BLR,IRQ"
PHL,Philippines,2006,LM,0.9999999999999998,1.0000000000000002,PHL
UKR,Ukraine,2006,LM,0.9449358064917274,1.0582729462996117,"BLR,IRQ"
HUN,Hungary,2006,UM,0.9962744331918917,1.0037394985598218,"MUS,ROU"
LVA,Latvia,2006,UM,0.9676046134595372,1.0334799835488977,"MUS,ROU"
MUS,Mauritius,2006,UM,1.0,1.0,MUS
POL,Poland,2006,UM,0.9511348060390421,1.0513756763507107,"MUS,ROU"
ROU,Romania,2006,UM,1.0,1.0,ROU
SRB,Serbia,2006,UM,0.9795091907793477,1.0209194660076122,"MUS,ROU"
ARM,Armenia,2007,LM,0.9361919346605411,1.0681570338058888,CPV
BIH,Bosnia and Herzegovina,2007,LM,0.9162838182746299,1.0913649025069638,CPV
BTN,Bhutan,2007,LM,1.0,1.0,BTN
CHN,China,2007,LM,0.8326697294538029,1.2009563511525259,CPV
CPV,Cabo Verde,2007,LM,1.0,1.0,CPV
DOM,Dominican Republic,2007,LM,0.8406329760081673,1.1895797911100316,CPV
GEO,Georgia,2007,LM,0.8398162327718224,1.1907366885485047,CPV
SYR,Syrian Arab Republic,2007,LM,0.9590533227523366,1.0426948911768041,"BTN,CPV"
UKR,Ukraine,2007,LM,0.9283307810107198,1.0772022434839987,CPV
BLR,Belarus,2007,UM,1.0,1.0,BLR
KAZ,Kazakhstan,2007,UM,1.0,1.0,KAZ
LVA,Latvia,2007,UM,0.875090476682866,1.1427389814486593,KAZ
PAN,Panama,2007,UM,0.9999999999999998,1.0000000000000002,PAN
POL,Poland,2007,UM,0.8885504579434211,1.1254284898063442,"BLR,PAN"
ROU,Romania,2007,UM,1.0,1.0,ROU
SRB,Serbia,2007,UM,0.9160376383000725,1.0916582006998532,KAZ
ALB,Albania,2008,LM,1.0000000000000002,0.9999999999999998,ALB
ARM,Armenia,2008,LM,0.9666131276219704,1.0345400568479417,"JOR,UKR"
GEO,Georgia,2008,LM,0.8119517220838036,1.2316003190849658,"JOR,UKR"
JOR,Jordan,2008,LM,1.0,1.0,JOR
UKR,Ukraine,2008,LM,1.0000000000000004,0.9999999999999997,UKR
BLR,Belarus,2008,UM,0.9910314775868716,1.0090496847133115,"KAZ,ZAF"
BRA,Brazil,2008,UM,0.8749356134748122,1.142941245731779,ZAF
COL,Colombia,2008,UM,0.8272949763917088,1.2087586997826982,"KAZ,ZAF"
KAZ,Kazakhstan,2008,UM,1.0000000000000002,0.9999999999999999,KAZ
LTU,Lithuania,2008,UM,0.8978057072215928,1.1138267355134823,ZAF
LVA,Latvia,2008,UM,0.8746265581539097,1.1433451118963485,ZAF
MEX,Mexico,2008,UM,0.9941232493007287,1.005911491058483,"KAZ,ZAF"
PAN,Panama,2008,UM,0.9983517049551869,1.0016510164069756,ZAF
PER,Peru,2008,UM,1.0000000000000002,0.9999999999999999,PER
POL,Poland,2008,UM,0.8859585865869991,1.128720930232558,ZAF
ROU,Romania,2008,UM,0.9129444673046454,1.0953568763633292,"KAZ,ZAF"
SRB,Serbia,2008,UM,0.9314927371999588,1.0735456757354567,ZAF
ZAF,South Africa,2008,UM,1.0,1.0,ZAF
ARM,Armenia,2009,LM,0.9195191524042381,1.0875249279858186,MNG
GEO,Georgia,2009,LM,0.7532599837000815,1.32756288882878,MNG
IDN,Indonesia,2009,LM,1.0,1.0,IDN
IND,India,2009,LM,1.0,1.0,IND
MNG,Mongolia,2009,LM,0.9999999999999998,1.0000000000000002,MNG
NIC,Nicaragua,2009,LM,0.8571829254061283,1.1666121318576264,"IDN,MNG"
PHL,Philippines,2009,LM,0.9981229255601415,1.001880604474449,"IDN,IND"
UKR,Ukraine,2009,LM,0.9491646291768543,1.053558012235698,MNG
BLR,Belarus,2009,UM,0.9761120819206106,1.0244725155254581,"BWA,KAZ"
BWA,Botswana,2009,UM,1.0,1.0,BWA
KAZ,Kazakhstan,2009,UM,1.0,1.0,KAZ
MKD,North Macedonia,2009,UM,0.9623896516657101,1.0390801670292211,"BWA,KAZ"
NAM,Namibia,2009,UM,0.997777777777778,1.0022271714922046,BWA
PER,Peru,2009,UM,1.0,1.0,PER
ROU,Romania,2009,UM,0.8873737373737376,1.126920887877063,BWA
SRB,Serbia,2009,UM,0.9262626262626266,1.0796074154852777,BWA
BEL,Belgium,2009,H,0.9305004023525228,1.0746905616287385,"CAN,POL"
CAN,Canada,2009,H,1.0,1.0,CAN
CYP,Cyprus,2009,H,0.9440659922655622,1.059247984984829,"CAN,POL"
LVA,Latvia,2009,H,1.0,1.0,LVA
POL,Poland,2009,H,1.0,1.0,POL
ARM,Armenia,2010,LM,0.8359177054829229,1.196290009699321,MNG
GEO,Georgia,2010,LM,0.7605148474713692,1.3148987206823028,MNG
IDN,Indonesia,2010,LM,0.9999999999999998,1.0000000000000002,IDN
MNG,Mongolia,2010,LM,1.0,1.0,MNG
UKR,Ukraine,2010,LM,0.9434478564913347,1.059941991621012,MNG
VNM,Viet Nam,2010,LM,0.9999999999999976,1.0000000000000024,VNM
BLR,Belarus,2010,UM,0.9779961109405383,1.0224989535370448,JOR
JOR,Jordan,2010,UM,1.0,1.0,JOR
