Sample,Observations,Countries,Years,FPE Mean,FPE Std,FPE Min,FPE Max,Frontier (%),WGI Mean,GINI Mean,GDP Mean
Full Sample,446,92,2000-2021,0.9233,0.0710,0.6409,1.0000,15.0%,-0.199,36.7,"$6,360"
High-Income Only,43,17,2000-2020,0.9288,0.0631,0.8200,1.0000,16.3%,0.892,34.2,"$25,659"
