Country Name,Country Code,Year,DEA_Efficiency,FPE,CHE_PPP,GGHE_pct
Cabo Verde,CPV,2001,0.2543493061868648,97.19,142.872662297639,11.17305183
Czechia,CZE,2001,0.3417114081573607,99.43,1031.86220701417,11.83805084
Georgia,GEO,2001,0.2563458916896598,86.05,238.28911793678,6.75043344
Hungary,HUN,2001,0.13179404282574736,91.66,900.733980760049,9.66478729
Indonesia,IDN,2001,0.48845491577847183,97.44,111.717915210114,3.95831513
India,IND,2001,0.6128170538122817,85.14,95.4058154088415,2.90321684
Israel,ISR,2001,0.1364768379024891,87.76,1858.37215319485,9.33316898
Italy,ITA,2001,0.10433168214527372,91.19,2170.31340970543,12.20876884
Kazakhstan,KAZ,2001,0.21131571406023042,97.83,297.396598186705,8.40947342
Kyrgyz Republic,KGZ,2001,0.42715063139479803,97.32,82.8230887383507,7.13149929
Lithuania,LTU,2001,0.13103893757501117,88.52,564.961459432522,11.36786652
Moldova,MDA,2001,0.2328822559820001,91.24,139.642169276076,9.71184635
Nicaragua,NIC,2001,0.18182404842121805,84.05,159.959380618934,12.79048729
Pakistan,PAK,2001,0.3844070831481153,94.04,61.8534826574671,6.30668402
Poland,POL,2001,0.14323274672415537,87.6,630.267495766063,8.89294815
Romania,ROU,2001,0.19313666652495232,93.0,281.544304095558,9.60567093
Russian Federation,RUS,2001,0.20054376949479924,98.07,413.119757097163,9.67133141
Senegal,SEN,2001,0.44767483618096704,98.4,75.2441907337137,9.01053238
United States,USA,2001,0.07599926889088625,94.18,4901.67536216281,16.76017952
Albania,ALB,2002,0.22067625199166882,76.63,257.051227793997,8.20897484
Armenia,ARM,2002,0.28124255094617795,88.53,261.677018919282,5.3255291
Azerbaijan,AZE,2002,0.5442160283412366,93.03,111.519657988715,3.19315743
Belarus,BLR,2002,0.17310868640800478,96.16,389.188367334049,9.32076073
Bolivia,BOL,2002,0.26019560731119307,91.77,172.105025673811,7.8159523
Canada,CAN,2002,0.08019871309904025,97.0,2727.0447698299,15.88256645
China,CHN,2002,0.32275368578035574,87.73,153.543707505455,6.02580309
Cote d'Ivoire,CIV,2002,0.48315024272796797,81.53,95.9781370709401,4.14795876
Czechia,CZE,2002,0.30916347427621654,99.25,1127.05589555227,12.18289185
Djibouti,DJI,2002,0.5816859035897558,98.86,84.9293440276589,5.49563599
Georgia,GEO,2002,0.23310219590088535,86.23,283.725326802592,7.02040815
Guinea,GIN,2002,0.5057089137943189,90.33,65.8833758377763,4.44303322
Guinea-Bissau,GNB,2002,0.8654034315079421,94.51,42.4157692645454,2.52350521
Hungary,HUN,2002,0.13173897744738408,90.3,1032.77498460196,9.66882706
Indonesia,IDN,2002,0.492944341419273,97.71,109.350278655416,3.98283839
Israel,ISR,2002,0.14664794666192865,87.86,1854.44348384301,8.68584538
Jamaica,JAM,2002,0.18168292737345149,89.62,382.287986260346,8.66761017
Jordan,JOR,2002,0.19699859241648177,98.52,604.100857834215,13.38210011
Kazakhstan,KAZ,2002,0.1862856214724537,97.88,343.568143784741,9.42059898
Kyrgyz Republic,KGZ,2002,0.41015210862389007,97.6,89.5114157241061,7.56329107
Lao PDR,LAO,2002,0.4350920303462459,96.93,83.1760958955142,6.12984419
Lithuania,LTU,2002,0.11628937106737236,87.92,641.827038469407,12.7128334
Latvia,LVA,2002,0.15605281769547627,90.81,578.263433090025,8.16237354
Moldova,MDA,2002,0.19211686585671767,90.42,181.921681252169,11.53735256
North Macedonia,MKD,2002,0.12579607893242445,93.42,559.140278442583,12.38785744
Mongolia,MNG,2002,0.27140970341343096,98.72,219.676844585463,10.90433216
Mozambique,MOZ,2002,0.9999999999999765,99.17,18.4831507452979,6.31664944
Poland,POL,2002,0.13562813445927896,87.71000000000001,715.971942783324,9.391572
Romania,ROU,2002,0.17252041117071693,92.39,326.26868972151,10.54747868
Russian Federation,RUS,2002,0.15643098917970127,96.84,473.454964829201,9.51892662
Thailand,THA,2002,0.2081833944952086,96.02,271.727906178773,8.71551132
Turkiye,TUR,2002,0.16629999826822572,93.99,462.405801315857,8.63695431
Uganda,UGA,2002,0.3770598287608457,90.43,51.7066588334314,8.74810505
Ukraine,UKR,2002,0.21069016615891553,87.59,295.673439591646,8.10631752
United States,USA,2002,0.07396913245849783,93.68,5327.93694234898,17.22017479
Uzbekistan,UZB,2002,0.3239884906098861,93.8,175.44966772588,5.58452082
Viet Nam,VNM,2002,0.26588817287811456,87.28,116.195131228637,8.61995983
Armenia,ARM,2003,0.26691339794096675,89.39,288.424583011174,5.37522793
Azerbaijan,AZE,2003,0.48756483589390165,93.01,124.037865253384,3.57235146
Benin,BEN,2003,0.34351191277735016,88.89,57.3988069383056,7.68920326
Burkina Faso,BFA,2003,0.44626686132486665,91.53999999999999,45.9000438327367,5.56972933
Belarus,BLR,2003,0.157162540804587,95.95,439.027305638964,10.07395458
Bhutan,BTN,2003,0.27822979846420653,94.62,143.267529452089,7.6382122
Canada,CAN,2003,0.07784141101664453,96.7,2897.40001637717,16.36354446
Czechia,CZE,2003,0.34014400381212423,99.37,1274.92730506871,11.61948967
Estonia,EST,2003,0.1215228355495879,89.96000000000001,672.703697615615,11.07697296
Georgia,GEO,2003,0.2149247271608099,87.95,333.604463440646,7.13276815
Hungary,HUN,2003,0.11009659433996045,87.63,1255.44650765541,11.56948948
India,IND,2003,0.6308182052195663,84.59,100.39838087148,2.67687607
Israel,ISR,2003,0.13794051127663606,88.3,1738.98863709116,9.23413563
Jamaica,JAM,2003,0.2235541669245457,89.63,359.429609639169,6.13759899
Kazakhstan,KAZ,2003,0.1733149485705218,97.68,392.159810668837,9.5652113
Kyrgyz Republic,KGZ,2003,0.37659216054745337,98.72,122.861730716217,8.07252979
"Korea, Rep.",KOR,2003,0.1701539535063513,91.67,1031.26959440773,7.48593473
