Country Name,che,predicted_che,residuals
Angola,23.895,6.227795965202724,17.667204034797276
Sierra Leone,29.806666666666672,12.214759759114719,17.59190690755195
Lebanon,26.6,9.494874873671385,17.105125126328616
"Egypt, Arab Rep.",25.282500000000002,11.992609961588736,13.289890038411267
Portugal,18.38,7.456475816300688,10.92352418369931
Tunisia,19.47,9.585062551729068,9.88493744827093
Nicaragua,18.953333333333333,10.088920988927239,8.864412344406094
China,18.4725,9.617446292646461,8.85505370735354
Georgia,22.48904761904762,14.101587757568533,8.387459861479089
Colombia,14.100000000000001,5.930514682691256,8.169485317308744
Poland,13.933636363636362,5.953329875432105,7.980306488204257
Greece,15.765,8.02417571354782,7.740824286452181
Malta,16.07,8.46969200368753,7.60030799631247
Zimbabwe,11.82,4.656922061897514,7.163077938102487
Uganda,15.529999999999998,8.405663713815759,7.1243362861842385
Barbados,16.37,9.438030884170582,6.931969115829419
Latvia,15.49,8.75747829857337,6.732521701426631
Brazil,13.440000000000001,6.921011536212016,6.518988463787985
Cyprus,15.395,9.017509195367753,6.377490804632247
Bulgaria,15.465714285714284,9.48168500130247,5.984029284411815
Nigeria,19.561666666666667,13.888674036402543,5.672992630264124
Israel,11.659374999999999,6.294206360086613,5.365168639913386
Argentina,13.235,8.114009176424268,5.120990823575731
Belgium,11.45,6.354439398082115,5.095560601917884
South Sudan,10.46,5.435435752747493,5.024564247252508
Romania,10.488666666666665,5.542343355058154,4.946323311608511
Albania,16.472,11.743583612115618,4.7284163878843835
Ecuador,14.34,9.711575664511225,4.628424335488775
Cambodia,16.596666666666668,12.014496964680033,4.5821697019866345
Hungary,10.791666666666666,6.560841059943963,4.2308256067227035
Lithuania,11.660000000000002,7.656622581585369,4.003377418414633
Moldova,13.84681818181818,10.050049935675503,3.796768246142678
India,15.605,12.050268671971386,3.5547313280286144
Morocco,13.774999999999999,10.366876962292352,3.4081230377076466
Estonia,9.563999999999998,6.174988575568485,3.389011424431513
Maldives,12.476666666666665,9.181836824671823,3.294829841994842
Dominican Republic,12.915,9.700801159708014,3.214198840291985
Viet Nam,11.575,8.49569433525921,3.07930566474079
Japan,9.683333333333332,6.629547097746439,3.0537862355868928
Bangladesh,16.4575,13.425069239437187,3.0324307605628125
Eswatini,6.88,3.949994681855954,2.9300053181440457
Afghanistan,17.3475,14.613004982963236,2.734495017036764
"Korea, Rep.",11.69375,9.107605927155614,2.5861440728443856
Italy,9.05,6.52086841525904,2.529131584740961
"Iran, Islamic Rep.",14.607499999999998,12.191881436615985,2.4156185633840135
Togo,15.475,13.206168624455167,2.268831375544833
Haiti,10.485,8.257637665491623,2.227362334508376
Switzerland,8.445833333333335,6.236277730922964,2.2095556024103704
Liberia,12.313333333333333,10.105762014884858,2.2075713184484744
Sudan,15.41,13.250682902373935,2.159317097626065
Jamaica,10.316666666666666,8.185561968793985,2.131104697872681
Chile,11.713333333333333,9.74389966262373,1.969433670709602
"Yemen, Rep.",15.615,13.766523069024458,1.8484769309755418
Bosnia and Herzegovina,10.2725,8.713621489492311,1.5588785105076894
Peru,10.20125,8.890753864523287,1.310496135476713
Finland,6.706666666666667,5.777478963305902,0.929187703360765
