iso3,country,income_group,income_label,mean_fpe,min_fpe,max_fpe,n_years,n_frontier_total,n_frontier_eligible,best_year,worst_year,mean_uhc_sci,trend,learn_from,rank_in_group
MAR,Morocco,UM,Upper-Middle Income,0.8799,0.7945,0.9348,4,0,0,2019,2006,100.0,Improving,"MKD, PHL, IDN",28
COL,Colombia,UM,Upper-Middle Income,0.8766,0.8244,0.9288,2,0,0,2016,2008,100.0,Insufficient data,"JOR, KAZ, ZAF",29
ECU,Ecuador,UM,Upper-Middle Income,0.8713,0.8308,0.9118,2,0,0,2013,2011,100.0,Insufficient data,"MNG, RWA",30
ARM,Armenia,UM,Upper-Middle Income,0.8576,0.7652,0.9481,20,0,0,2008,2019,100.0,Declining,"MNG, RUS, IDN",31
ALB,Albania,UM,Upper-Middle Income,0.8499,0.7762,0.9255,5,0,0,2017,2002,100.0,Improving,"MNG, MDG, CAF",32
CHN,China,UM,Upper-Middle Income,0.831,0.7722,0.8942,4,0,0,2002,2018,100.0,Declining,"IDN, MNG, CPV",33
TUN,Tunisia,UM,Upper-Middle Income,0.8118,0.7825,0.8355,4,0,0,2010,2005,100.0,Improving,"ZMB, BLR, MKD",34
GEO,Georgia,UM,Upper-Middle Income,0.7871,0.6966,0.8997,21,0,0,2000,2017,100.0,Declining,"MNG, PHL, IDN",35
BTN,Bhutan,LM,Lower-Middle Income,1.0,1.0,1.0,4,4,4,2003,2007,100.0,Stable,—,1
ZMB,Zambia,LM,Lower-Middle Income,1.0,1.0,1.0,4,4,4,2004,2015,100.0,Stable,—,1
ZWE,Zimbabwe,LM,Lower-Middle Income,1.0,1.0,1.0,1,1,1,2017,2017,100.0,Insufficient data,—,1
HND,Honduras,LM,Lower-Middle Income,0.9968,0.9968,0.9968,1,0,0,2004,2004,100.0,Insufficient data,—,4
GHA,Ghana,LM,Lower-Middle Income,0.9963,0.9908,1.0,3,1,1,2012,2005,100.0,Stable,"RWA, MDG, ZAF",5
PAK,Pakistan,LM,Lower-Middle Income,0.9829,0.9622,1.0,8,3,3,2001,2018,100.0,Declining,"ZMB, MDG, MNG",6
SEN,Senegal,LM,Lower-Middle Income,0.9804,0.9485,1.0,4,1,1,2001,2018,100.0,Declining,"MDG, MNG, GIN",7
GIN,Guinea,LM,Lower-Middle Income,0.979,0.9575,1.0,3,1,1,2018,2012,100.0,Stable,"IDN, UGA, GHA",8
PHL,Philippines,LM,Lower-Middle Income,0.9744,0.9395,1.0,6,2,2,2003,2015,100.0,Declining,"ZMB, IDN, MNG",9
SYR,Syrian Arab Republic,LM,Lower-Middle Income,0.9599,0.9511,0.9686,2,0,0,2003,2007,100.0,Insufficient data,"PHL, RUS, CPV",10
LSO,Lesotho,LM,Lower-Middle Income,0.9577,0.9577,0.9577,1,0,0,2010,2010,100.0,Insufficient data,ZMB,11
UZB,Uzbekistan,LM,Lower-Middle Income,0.9524,0.9443,0.959,3,0,0,2003,2000,100.0,Improving,"PHL, MKD, IDN",12
KEN,Kenya,LM,Lower-Middle Income,0.9486,0.9465,0.9508,2,0,0,2015,2005,100.0,Insufficient data,"MDG, ZMB",13
BEN,Benin,LM,Lower-Middle Income,0.9467,0.8727,1.0,4,1,1,2011,2018,100.0,Declining,"ZMB, GIN",14
TJK,Tajikistan,LM,Lower-Middle Income,0.9253,0.8736,0.9608,7,0,0,2007,2009,100.0,Stable,"RWA, CPV, PAK",15
BGD,Bangladesh,LM,Lower-Middle Income,0.9228,0.765,1.0,4,2,2,2010,2016,100.0,Declining,"RWA, PHL",16
NPL,Nepal,LM,Lower-Middle Income,0.9206,0.9038,0.9578,5,0,0,2003,2016,100.0,Declining,"RWA, PHL, ZAF",17
VNM,Viet Nam,LM,Lower-Middle Income,0.9164,0.8481,1.0,10,1,1,2002,2004,100.0,Stable,"IDN, ZMB, CAN",18
MRT,Mauritania,LM,Lower-Middle Income,0.9065,0.902,0.9109,2,0,0,2014,2004,100.0,Insufficient data,ZAF,19
CIV,Cote d'Ivoire,LM,Lower-Middle Income,0.8915,0.8491,0.9349,4,0,0,2018,2002,100.0,Improving,"IDN, UGA, CAF",20
TGO,Togo,LM,Lower-Middle Income,0.8812,0.7424,1.0,4,1,1,2006,2015,100.0,Declining,"MNG, ZMB, GIN",21
MMR,Myanmar,LM,Lower-Middle Income,0.8753,0.8642,0.8863,2,0,0,2017,2015,100.0,Insufficient data,ZMB,22
UGA,Uganda,LM,Lower-Middle Income,0.8752,0.7987,1.0,5,1,1,2002,2005,100.0,Declining,"MDG, MNG, GHA",23
IND,India,LM,Lower-Middle Income,0.8665,0.8362,0.8929,8,0,0,2007,2011,100.0,Declining,"PHL, MNG, RWA",24
KHM,Cambodia,LM,Lower-Middle Income,0.8555,0.8356,0.8945,3,0,0,2014,2009,100.0,Stable,"MNG, ZAF",25
NIC,Nicaragua,LM,Lower-Middle Income,0.8281,0.7715,0.8576,3,0,0,2001,2014,100.0,Declining,"CPV, RUS, SEN",26
NGA,Nigeria,LM,Lower-Middle Income,0.8173,0.7745,0.8549,6,0,0,2018,2009,100.0,Improving,"ZMB, PHL, RUS",27
CAF,Central African Republic,L,Low Income,1.0,1.0,1.0,1,1,1,2008,2008,100.0,Insufficient data,—,1
ETH,Ethiopia,L,Low Income,1.0,1.0,1.0,4,4,0,2015,2004,0.0,Stable,—,1
MDG,Madagascar,L,Low Income,1.0,1.0,1.0,3,3,3,2005,2010,100.0,Stable,—,1
RWA,Rwanda,L,Low Income,1.0,1.0,1.0,4,4,4,2000,2000,100.0,Stable,—,1
