Metric,Value
Observations,871
Countries,156
Years,22
Mean_Score,0.18963844734685903
Std_Dev,0.14864378813019827
Min_Score,0.016005281119590882
Max_Score,1.0000000000000002
Efficient_DMUs,0
Efficient_Percentage,0.0%
