iso3,year,fpe_score,CHE_pc,OOP_pct,GGHE_pct,CHE_pct_GDP,UHC_index,Impoverishing_incidence,CHE_incidence_10
RUS,2003,0.9999999999840441,163.31135559,0.0,9.20299911,5.16368914,37.299984294454276,1.047,3.49
SLE,2003,1.0,21.7804718,0.0,5.45097542,5.06219816,26.9461064008228,13.68,45.6
SRB,2003,0.522515088906033,230.08865356,0.0,13.56351852,7.30602598,37.606499940041644,6.467999999999999,21.56
SYR,2003,0.7116037705606026,59.87030792,0.0,7.51466179,5.13501024,32.61939297966394,5.58,18.6
TCD,2003,0.9999999999999969,18.0202446,0.0,8.98155689,4.24698305,25.066860275836582,2.148,7.16
TUR,2003,0.6795409791411204,232.5562439,0.0,9.29146957,5.01427698,39.645431105240306,2.6609999999999996,8.87
UKR,2003,0.5961777013546575,67.87039948,0.0,9.38550282,6.54574108,31.961599845528237,7.38,24.6
UZB,2003,0.7920296966980598,25.61911011,0.0,6.01096392,5.1882515,26.691071288479968,4.794,15.98
ARG,2004,1.0,303.31906128,0.0,14.93299007,7.09477043,39.163457658568234,11.597999999999999,38.66
ARM,2004,1.0,71.65074158,0.0,6.27547503,6.05510139,32.21671644315822,6.114,20.38
AZE,2004,0.9999999999760559,27.1906395,0.0,3.55759931,2.65944242,31.80586097930209,5.178,17.26
BLR,2004,1.0,140.99655151,0.0,9.99574471,5.73650646,36.12406494162208,3.492,11.64
CAN,2004,1.0,2896.19335938,0.0,16.9260788,9.06623363,49.80365264961486,3.03,10.1
COD,2004,0.9999999998153687,7.83304834,42.36256797280761,2.49895263,4.33564186,22.607723641536666,2.523,8.41
ETH,2004,0.9999999999678909,5.7385993,0.0,5.72665405,4.31281853,21.015359926801928,0.381,1.27
GEO,2004,0.5136626426337085,105.09565735,22.735613903815036,6.25,8.08910847,32.97242449339649,7.068,23.56
HND,2004,1.0,83.29620361,0.0,9.59641266,6.85484362,32.597666394621676,6.129,20.43
HUN,2004,1.0,798.45361328,0.0,11.08648109,7.76592064,43.819421611945685,12.384,41.28
IDN,2004,0.9999999995572515,25.98270035,0.0,4.20149517,2.12002277,32.20160712686662,1.539,5.13
JAM,2004,0.5215571052932895,222.27250671,0.0,7.64527464,5.83766747,38.59586492616371,8.145,27.15
KAZ,2004,0.548118075771335,108.43822479,0.0,10.94160748,3.98307681,36.83385507507366,4.449,14.83
KGZ,2004,1.0,26.37302399,0.0,8.21259594,6.20281315,27.18646278994472,4.932,16.44
LTU,2004,0.40945879067845203,366.95968628,0.0,10.13123989,5.48347187,41.591633966489084,10.847999999999999,36.16
LVA,2004,0.46700531889053737,393.29806519,0.0,9.9400692,6.47518539,41.080089780398794,11.379,37.93
MDA,2004,1.0,64.60713959,0.0,15.25031948,8.97114944,31.00524199459266,4.967999999999999,16.56
MRT,2004,1.0,31.47280884,20.061564374577387,2.96115541,3.70429492,30.555861163696804,4.361999999999999,14.54
PAK,2004,0.9999999999818547,15.53542328,0.0,4.51193905,2.03666282,30.21595464854964,1.293,4.31
POL,2004,1.0,392.00338745,0.0,9.10989761,5.84185648,41.573780438288296,12.735000000000001,42.45
PSE,2004,0.4216433277254582,150.72610474,34.995828016553574,7.39701176,11.37928772,33.42375171498615,10.551,35.17
ROU,2004,1.0,190.7950592,0.0,11.96030045,5.47733593,38.145908500651956,8.091,26.97
RUS,2004,0.4609598955601236,207.61283875,0.0,9.44207001,4.7603755,38.9876042850055,1.626,5.42
SRB,2004,1.0,274.45532227,0.0,13.70559883,7.63644934,38.29715906582452,6.78,22.6
SVK,2004,1.0,511.52990723,0.0,13.11000252,6.39662457,43.99950269991702,5.082,16.94
TUR,2004,0.44750691573340584,292.65307617,0.0,10.18661499,4.9096446,40.96699075831037,2.499,8.33
UKR,2004,1.0,83.23918915,0.0,8.1810751,6.16856956,33.34499555667681,7.269,24.23
